,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.26,0.85,0.68,0.82,0.58,0.83,0.49,1.01,0.49,0.05,0.51,0.73,0.37,0.73,0.5,0.63,0.61,0.47
fbmanager.csv,1.18,0.61,0.71,0.0,0.52,0.6,0.72,0.45,0.79,0.63,0.54,0.73,0.97,0.79,0.64,0.56,0.68,0.6
freenet.csv,1.02,0.63,0.84,0.83,0.7,0.77,0.02,0.64,0.78,0.71,0.63,0.45,0.75,0.84,0.55,0.63,0.59,0.57
geogebra.csv,1.02,0.86,0.73,1.0,0.85,0.77,0.75,0.89,0.72,0.63,0.76,0.75,0.6,0.92,0.74,0.83,0.82,0.06
google-caja.csv,0.93,0.64,0.78,0.57,0.56,0.8,0.65,0.7,0.81,0.6,0.01,0.65,0.48,0.74,0.57,0.74,0.65,0.54
hibernate.csv,1.02,0.79,0.75,0.77,0.78,0.85,0.54,0.76,0.73,0.62,0.73,0.68,0.67,0.65,0.5,0.9,0.04,0.67
illumination.csv,1.03,0.92,0.9,0.83,0.76,0.94,0.9,0.84,0.87,0.64,0.78,1.0,0.83,0.86,0.89,0.06,0.92,0.87
kindb.csv,0.47,0.53,0.6,0.62,0.49,0.67,0.58,0.68,0.49,0.55,0.47,0.6,0.07,0.55,0.31,0.72,0.58,0.36
officefloor.csv,0.2,0.84,0.65,0.72,0.77,0.85,0.86,0.95,0.08,0.75,0.89,0.8,0.79,0.65,0.74,0.9,0.81,0.84
paintown.csv,1.24,0.05,0.73,0.61,0.54,0.8,0.6,0.63,0.58,0.55,0.46,0.67,0.45,0.65,0.53,0.84,0.59,0.53
poormans.csv,0.22,0.71,0.66,0.84,0.51,0.48,0.5,0.91,0.57,0.71,0.73,0.71,0.94,1.0,0.03,0.7,0.71,0.55
qlc.csv,1.0,0.85,0.82,0.86,0.87,0.86,0.89,0.06,1.0,0.92,0.95,0.94,0.91,0.91,0.91,1.0,0.96,0.78
repositorium.csv,0.44,0.82,0.86,0.72,0.77,0.84,0.65,1.0,0.49,0.67,0.55,0.52,0.59,0.0,0.42,0.69,0.61,0.63
sevenupdate.csv,1.31,0.99,0.67,0.97,1.0,0.0,0.69,0.97,0.84,0.76,0.8,0.97,1.0,1.0,0.88,0.98,0.8,0.68
sqlpower-library.csv,0.73,0.71,0.61,0.85,0.0,0.85,0.73,0.86,0.83,0.76,0.51,0.66,0.67,0.65,0.69,0.89,0.71,0.5
triplea.csv,1.23,0.72,0.0,0.61,0.48,0.61,0.68,0.62,0.7,0.66,0.65,0.8,0.36,0.83,0.72,0.61,0.64,0.51
yarp0.csv,1.07,0.67,0.68,0.67,0.49,0.72,0.54,0.68,0.86,0.64,0.72,0.06,0.45,0.79,0.69,0.84,0.68,0.61
