,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,98.5,2047.5,99.0,98.5,2238.5,493.0,98.5,195.0,197.5,98.5
chrysalis.csv,98.5,314.0,97.5,98.5,855.0,189.0,98.5,91.5,98.5,98.5
jahshaka.csv,98.5,486.0,97.5,98.5,892.5,97.5,98.5,91.5,197.5,98.5
jam-daq.csv,98.5,90.5,294.0,98.5,322.0,97.5,98.5,54.5,97.5,98.5
jatlas.csv,98.5,979.0,99.0,98.5,311.0,91.5,96.5,172.0,519.0,98.5
jedit.csv,98.5,1516.0,97.5,98.5,2226.5,295.0,98.5,192.0,98.5,98.5
mscore.csv,98.5,1607.5,96.5,98.5,732.5,295.0,98.5,192.0,98.5,98.5
open-media-library.csv,98.5,236.5,187.0,98.5,459.0,295.0,98.5,97.5,98.5,617.5
panda3d.csv,98.5,284.0,97.5,95.5,614.0,97.5,98.5,94.5,194.0,98.5
wheat.csv,182.0,988.0,282.5,98.5,1013.5,295.0,98.5,192.0,98.5,651.5
