,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,196.5,136.0,296.5,95.5,571.5,99.0,290.5,1301.0,7500.0,196.0,196.5
gamestone.csv,97.5,173.0,98.5,197.5,283.0,0.0,30.5,2907.0,4478.5,486.0,49.5
gbif-providertoolkit.csv,196.5,1614.0,296.5,98.5,283.5,99.0,390.0,643.0,198.0,386.0,97.5
heekscad.csv,196.5,141.0,188.0,194.5,378.5,97.5,291.5,1290.5,198.0,97.5,97.5
igarden.csv,196.5,67.5,97.5,182.0,473.5,97.5,289.5,271.5,198.0,196.0,97.5
levent.csv,196.5,229.5,0.0,0.0,572.5,99.0,289.5,0.0,0.0,0.0,97.5
lportal.csv,97.5,120.0,197.5,4.5,58.5,94.5,79.5,1206.5,2536.0,57.5,96.5
natpad.csv,196.5,78.5,296.5,197.5,761.5,99.0,390.0,3767.5,198.0,97.5,196.5
openmsx.csv,196.5,563.0,98.5,197.5,357.0,92.5,96.5,3245.5,0.0,287.5,95.5
owlapi.csv,194.5,670.5,296.5,635.0,816.0,99.0,390.0,535.5,99.0,484.5,97.5
xcsoar.csv,196.5,162.0,180.0,95.5,382.5,94.5,191.0,1306.0,198.0,196.0,196.5
