,f1,g,recall,precision,pf,wins
bulmages.csv,0.14,0.11,0.09,0.43,0.1,0
codeblocks.csv,0.4,0.54,0.58,0.38,0.46,15
ctrlr.csv,0.31,0.35,0.32,0.5,0.27,7
free-evolution.csv,0.4,0.54,0.6,0.33,0.49,13
fulguro.csv,0.36,0.41,0.47,0.3,0.52,2
gisgraphy.csv,0.28,0.37,0.33,0.38,0.17,5
ipfire-wall.csv,0.39,0.46,0.44,0.3,0.33,8
jruby.csv,0.34,0.34,0.36,0.38,0.32,4
l2j.csv,0.47,0.56,0.58,0.37,0.46,16
ldview.csv,0.44,0.43,0.42,0.39,0.36,11
libmesh.csv,0.38,0.36,0.34,0.44,0.45,3
red5.csv,0.52,0.5,0.85,0.36,0.79,14
t-2.csv,0.43,0.47,0.5,0.38,0.5,9
tencompetence.csv,0.26,0.36,0.33,0.38,0.34,1
vdsf.csv,0.5,0.42,0.86,0.36,0.86,10
xbrlapi.csv,0.29,0.33,0.29,0.5,0.22,6
xcf.csv,0.43,0.45,0.44,0.42,0.36,12
