,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.09,0.0,0.0,0.33,0.02,0.65,0.0,0.33,0.27,0.14,0.11,0.11,0.25,0.06,0.31,0.0,0.45
codeblocks.csv,0.55,0.46,0.69,0.44,0.53,0.56,0.22,0.55,0.65,0.61,0.56,0.54,0.22,0.3,0.23,0.45,0.64
ctrlr.csv,0.35,0.0,0.11,0.37,0.09,0.22,0.78,0.13,0.47,0.5,0.21,0.46,0.35,0.18,0.53,0.38,0.37
free-evolution.csv,0.35,0.54,0.55,0.44,0.54,0.38,0.17,0.41,0.6,0.14,0.57,0.69,0.52,0.68,0.57,0.3,0.6
fulguro.csv,0.39,0.45,0.19,0.0,0.34,0.48,0.5,0.42,0.24,0.37,0.48,0.33,0.42,0.44,0.41,0.65,0.34
gisgraphy.csv,0.09,0.0,0.5,0.59,0.11,0.12,0.59,0.43,0.41,0.52,0.37,0.23,0.05,0.05,0.01,0.38,0.75
ipfire-wall.csv,0.52,0.65,0.29,0.06,0.46,0.65,0.22,0.8,0.28,0.34,0.18,0.39,0.47,0.6,0.47,0.57,0.34
jruby.csv,0.28,0.0,0.32,0.17,0.61,0.61,0.06,0.55,0.23,0.1,0.34,0.54,0.57,0.64,0.51,0.21,0.39
l2j.csv,0.59,0.38,0.6,0.53,0.58,0.56,0.36,0.57,0.09,0.33,0.58,0.69,0.71,0.37,0.47,0.55,0.63
ldview.csv,0.43,0.65,0.27,0.74,0.43,0.66,0.12,0.37,0.65,0.6,0.46,0.55,0.39,0.33,0.13,0.39,0.7
libmesh.csv,0.36,0.0,0.55,0.45,0.3,0.51,0.12,0.24,0.64,0.59,0.55,0.49,0.3,0.09,0.35,0.29,0.49
red5.csv,0.29,0.49,0.59,0.21,0.64,0.5,0.41,0.48,0.67,0.65,0.63,0.5,0.59,0.46,0.42,0.0,0.56
t-2.csv,0.46,0.44,0.53,0.2,0.34,0.32,0.17,0.5,0.66,0.54,0.67,0.57,0.47,0.34,0.53,0.47,0.54
tencompetence.csv,0.44,0.28,0.1,0.06,0.22,0.36,0.32,0.49,0.38,0.55,0.34,0.22,0.47,0.52,0.78,0.57,0.21
vdsf.csv,0.62,0.41,0.53,0.6,0.0,0.43,0.42,0.45,0.42,0.09,0.34,0.42,0.05,0.37,0.33,0.71,0.23
xbrlapi.csv,0.71,0.0,0.11,0.33,0.51,0.37,0.12,0.44,0.32,0.3,0.11,0.38,0.21,0.02,0.34,0.65,0.35
xcf.csv,0.41,0.56,0.44,0.47,0.45,0.54,0.33,0.7,0.4,0.52,0.37,0.82,0.27,0.34,0.38,0.66,0.56
