,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.1,0.0,0.0,0.16,0.03,0.42,0.0,0.05,0.48,0.2,0.06,0.13,0.25,0.0,0.34,0.04,0.21
codeblocks.csv,0.6,0.24,0.51,0.86,0.17,0.46,0.22,0.78,0.3,0.67,0.52,0.17,0.03,0.21,0.33,0.82,0.58
ctrlr.csv,0.25,0.0,0.28,0.27,0.07,0.19,0.31,0.3,0.19,0.22,0.28,0.47,0.7,0.26,0.53,0.49,0.12
free-evolution.csv,0.88,0.74,0.67,0.49,0.59,0.89,0.19,0.49,0.43,0.35,0.36,0.47,0.2,0.63,0.51,0.37,0.6
fulguro.csv,0.88,0.61,0.31,0.03,0.9,0.81,0.41,0.35,0.31,0.52,0.64,0.9,0.59,0.26,0.37,0.33,0.9
gisgraphy.csv,0.05,0.0,0.36,0.59,0.0,0.1,0.34,0.78,0.17,0.54,0.27,0.13,0.07,0.11,0.18,0.54,0.15
ipfire-wall.csv,0.57,0.33,0.1,0.08,0.83,0.4,0.36,0.3,0.31,0.46,0.12,0.17,0.71,0.32,0.36,0.33,0.73
jruby.csv,0.32,1.0,0.13,0.16,0.55,0.42,0.08,0.14,0.24,0.2,0.15,0.6,0.71,0.53,0.71,0.14,0.38
l2j.csv,0.52,0.36,0.33,0.41,0.59,0.46,0.39,0.65,0.98,0.59,0.4,0.6,0.39,0.32,0.53,0.44,0.69
ldview.csv,0.38,0.43,0.31,0.35,0.34,0.56,0.19,0.89,0.44,0.65,0.29,0.33,0.14,0.21,0.36,0.41,0.56
libmesh.csv,0.45,0.0,0.64,0.81,0.28,0.71,0.1,0.65,0.23,0.37,0.76,0.63,0.34,0.05,0.57,0.54,0.21
red5.csv,0.92,0.43,0.74,0.95,0.41,0.79,0.88,0.84,0.59,0.67,0.6,0.8,0.71,0.84,0.63,1.0,0.79
t-2.csv,0.5,0.24,0.79,0.95,0.24,0.91,0.08,0.49,0.18,0.2,0.64,0.67,0.51,0.21,0.68,0.46,0.71
tencompetence.csv,0.28,0.07,0.15,0.05,0.31,0.39,0.46,0.16,0.74,0.76,0.58,0.27,0.51,0.58,0.28,0.34,0.42
vdsf.csv,0.72,0.13,0.79,0.57,1.0,0.86,0.76,0.86,0.76,0.98,0.89,0.77,0.99,0.89,0.91,0.62,0.94
xbrlapi.csv,0.3,0.0,0.03,0.14,0.66,0.21,0.07,0.19,0.29,0.39,0.11,0.33,0.22,0.0,0.29,0.32,0.4
xcf.csv,0.45,0.34,0.26,0.24,0.52,0.35,0.25,0.68,0.88,0.63,0.22,0.27,0.18,0.58,0.36,0.52,0.73
