,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.67,0.68,0.42,0.04,0.69,0.77,0.63,0.59,0.95,0.6,0.45,0.55,0.77,0.77
autowikibrowser.csv,0.47,0.71,0.76,0.51,0.61,0.42,0.48,0.54,0.62,0.73,0.57,0.05,0.51,0.67
cities3d.csv,0.69,0.84,0.96,0.88,0.85,0.11,0.83,0.78,0.94,0.89,0.84,0.82,0.87,0.71
kmatplot.csv,0.03,0.88,0.97,0.8,0.71,0.71,0.95,0.79,0.87,0.92,0.91,0.82,0.84,0.72
libarchive.csv,0.44,0.53,0.7,0.54,0.59,0.4,0.59,0.52,0.68,0.77,0.65,0.53,0.64,0.06
lphant.csv,0.53,0.63,0.61,0.67,0.53,0.49,0.5,0.69,0.75,0.7,0.09,0.56,0.61,0.49
mob-sen-plat.csv,0.62,0.83,0.06,0.69,0.67,0.79,0.58,0.58,0.71,0.68,0.72,0.49,0.62,0.56
mscore.csv,0.86,0.74,0.75,0.64,0.66,0.44,0.7,0.02,0.74,0.77,0.67,0.65,0.48,0.74
pidgin.csv,0.77,0.64,0.72,0.64,0.68,0.72,0.01,0.59,0.82,0.63,0.84,0.65,0.71,0.59
quickfast.csv,0.72,0.63,0.86,0.66,0.53,0.52,0.79,0.68,0.61,0.67,0.85,0.74,0.0,0.64
raygina.csv,0.63,0.12,0.83,0.61,0.66,0.4,0.75,0.64,0.67,0.66,0.66,0.61,0.6,0.96
riff-evolve.csv,0.56,0.62,0.62,0.6,0.6,0.53,0.85,0.55,0.69,0.01,0.64,0.52,0.48,0.9
upp-mirror.csv,0.56,0.64,0.88,0.88,0.0,0.88,0.66,0.66,0.71,0.86,0.73,0.74,0.63,0.8
wishmaster.csv,0.76,0.92,0.7,0.71,0.69,0.82,0.79,0.75,0.14,0.87,0.75,0.71,0.83,0.73
