,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.3,0.44,0.73,0.98,0.59,0.16,0.61,0.71,0.08,0.56,0.69,0.62,0.37,0.54
autowikibrowser.csv,0.43,0.44,0.37,0.56,0.66,0.28,0.73,0.62,0.33,0.4,0.54,0.98,0.69,0.48
cities3d.csv,0.38,0.27,0.1,0.43,0.26,0.94,0.31,0.35,0.09,0.58,0.25,0.28,0.22,0.4
kmatplot.csv,0.98,0.19,0.06,0.29,0.43,0.17,0.09,0.34,0.17,0.14,0.16,0.29,0.28,0.41
libarchive.csv,0.46,0.54,0.47,0.53,0.6,0.3,0.61,0.64,0.29,0.35,0.45,0.58,0.51,0.96
lphant.csv,0.48,0.46,0.71,0.52,0.66,0.24,0.69,0.45,0.23,0.46,0.95,0.6,0.55,0.61
mob-sen-plat.csv,0.32,0.49,0.97,0.45,0.61,0.13,0.78,0.69,0.26,0.52,0.53,0.62,0.7,0.54
mscore.csv,0.25,0.45,0.39,0.46,0.7,0.27,0.74,0.99,0.26,0.41,0.43,0.47,0.68,0.4
pidgin.csv,0.3,0.52,0.67,0.52,0.56,0.18,1.0,0.68,0.3,0.63,0.54,0.58,0.56,0.59
quickfast.csv,0.36,0.63,0.38,0.5,0.76,0.23,0.79,0.69,0.35,0.5,0.59,0.62,1.0,0.64
raygina.csv,0.32,0.94,0.29,0.47,0.53,0.29,0.8,0.62,0.29,0.47,0.47,0.53,0.59,0.59
riff-evolve.csv,0.4,0.52,0.56,0.49,0.68,0.22,0.76,0.65,0.28,0.99,0.47,0.63,0.67,0.59
upp-mirror.csv,0.46,0.45,0.21,0.21,1.0,0.1,0.51,0.49,0.27,0.24,0.4,0.38,0.52,0.33
wishmaster.csv,0.22,0.15,0.49,0.37,0.47,0.12,0.47,0.45,0.92,0.23,0.36,0.43,0.28,0.42
