,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.22,0.48,0.22,0.95,0.12,0.12,0.16,0.6,0.12,0.26
arsenal-1.csv,0.43,0.26,0.96,0.14,0.36,0.11,0.04,0.27,0.24,0.03
barracudamvc.csv,1.0,0.96,1.0,0.91,0.96,0.5,0.88,0.93,0.9,0.91
irplus.csv,0.33,0.48,0.3,0.36,0.48,0.32,0.92,0.8,0.6,0.37
lite.csv,0.24,0.35,0.15,0.55,0.08,0.25,0.08,1.0,0.1,0.09
mumble.csv,0.24,0.43,0.11,0.41,0.96,0.25,0.4,0.6,0.07,0.29
ontopia.csv,0.71,1.0,0.67,0.23,0.96,1.0,0.68,0.8,0.95,0.97
openintents.csv,0.31,0.96,0.19,0.86,0.52,0.37,0.64,0.6,0.48,0.43
ta3d.csv,0.84,0.87,0.85,0.77,0.56,0.8,0.76,0.73,0.74,0.97
tweetsharp.csv,0.77,0.7,0.89,0.95,0.84,0.59,0.72,0.8,0.98,0.66
