,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.26,0.52,0.26,0.96,0.15,0.14,0.19,0.64,0.14,0.3
arsenal-1.csv,0.45,0.3,0.97,0.17,0.4,0.13,0.05,0.31,0.28,0.04
barracudamvc.csv,0.99,0.0,0.0,0.47,0.44,0.5,0.2,0.09,0.41,0.0
irplus.csv,0.35,0.5,0.34,0.39,0.51,0.36,0.93,0.75,0.55,0.37
lite.csv,0.28,0.39,0.18,0.6,0.1,0.28,0.1,1.0,0.12,0.11
mumble.csv,0.28,0.47,0.13,0.45,0.97,0.29,0.45,0.63,0.09,0.32
ontopia.csv,0.47,0.13,0.41,0.26,0.5,0.99,0.49,0.33,0.42,0.24
openintents.csv,0.35,0.97,0.21,0.78,0.53,0.4,0.62,0.61,0.44,0.43
ta3d.csv,0.2,0.53,0.0,0.55,0.56,0.26,0.7,0.32,0.66,0.96
tweetsharp.csv,0.62,0.66,0.47,0.53,0.42,0.62,0.56,0.43,0.96,0.54
