,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.76,0.56,0.88,0.48,0.75,0.92,0.89,0.5,0.88,0.5
arsenal-1.csv,0.5,0.62,0.54,0.83,0.68,0.92,0.86,0.9,0.73,0.67
barracudamvc.csv,0.38,0.27,0.36,0.33,0.4,0.51,0.36,0.37,0.39,0.44
irplus.csv,0.51,0.4,0.57,0.55,0.55,0.48,0.58,0.43,0.38,0.61
lite.csv,0.72,0.67,0.64,0.57,0.92,0.62,0.8,0.62,0.86,0.75
mumble.csv,0.72,0.61,0.86,0.67,0.62,0.71,0.67,0.5,0.83,0.5
ontopia.csv,0.4,0.27,0.48,0.74,0.41,0.36,0.43,0.37,0.42,0.43
openintents.csv,0.65,0.55,0.6,0.38,0.68,0.53,0.53,0.55,0.6,0.75
ta3d.csv,0.35,0.33,0.39,0.38,0.51,0.38,0.42,0.42,0.38,0.4
tweetsharp.csv,0.4,0.45,0.42,0.35,0.42,0.56,0.41,0.4,0.49,0.47
