,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.35,0.54,0.34,0.98,0.21,0.2,0.24,0.58,0.2,0.38
arsenal-1.csv,0.57,0.31,0.98,0.21,0.38,0.18,0.06,0.32,0.38,0.05
barracudamvc.csv,1.0,0.56,0.64,0.59,0.46,0.63,0.49,0.41,0.82,0.77
irplus.csv,0.47,0.46,0.39,0.38,0.43,0.46,0.94,0.56,0.66,0.45
lite.csv,0.37,0.42,0.21,0.67,0.11,0.38,0.13,0.97,0.16,0.15
mumble.csv,0.37,0.49,0.15,0.49,0.98,0.39,0.47,0.55,0.12,0.39
ontopia.csv,0.77,0.59,0.51,0.24,0.47,0.99,0.45,0.38,0.84,0.81
openintents.csv,0.46,0.98,0.19,0.7,0.39,0.51,0.52,0.49,0.56,0.51
ta3d.csv,0.83,0.58,0.57,0.55,0.41,0.81,0.58,0.35,0.77,0.97
tweetsharp.csv,0.81,0.59,0.62,0.62,0.41,0.73,0.49,0.39,0.96,0.67
