,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.92,0.61,0.75,1.0,0.75,0.69,0.44,0.56,0.62,0.75
arsenal-1.csv,0.83,0.38,1.0,0.5,0.41,0.67,0.14,0.4,0.91,0.33
barracudamvc.csv,0.99,0.4,0.47,0.43,0.3,0.84,0.34,0.26,0.75,0.67
irplus.csv,0.78,0.44,0.57,0.4,0.39,0.83,0.96,0.43,0.74,0.57
lite.csv,0.86,0.53,0.36,0.86,0.15,0.79,0.4,0.94,0.57,0.75
mumble.csv,0.86,0.56,0.21,0.6,1.0,0.9,0.56,0.5,0.5,0.62
ontopia.csv,0.82,0.42,0.41,0.26,0.31,0.99,0.33,0.24,0.75,0.69
openintents.csv,0.82,1.0,0.2,0.59,0.32,0.82,0.44,0.41,0.67,0.62
ta3d.csv,0.82,0.43,0.43,0.42,0.33,0.82,0.48,0.23,0.79,0.97
tweetsharp.csv,0.86,0.52,0.48,0.46,0.27,0.94,0.37,0.26,0.95,0.68
