,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.1,0.21,0.06,0.0,0.02,0.29,0.11,0.17,0.2,0.19
arsenal-1.csv,0.45,0.3,0.0,0.1,0.2,0.29,0.14,0.15,0.07,0.12
barracudamvc.csv,0.05,1.0,1.0,0.84,0.86,0.5,0.95,0.98,0.87,1.0
irplus.csv,0.5,0.42,0.19,0.39,0.29,0.36,0.02,0.39,0.6,0.62
lite.csv,0.2,0.21,0.23,0.06,0.17,0.36,0.07,0.02,0.2,0.06
mumble.csv,0.2,0.24,0.35,0.19,0.0,0.14,0.18,0.22,0.2,0.38
ontopia.csv,0.8,0.97,0.84,0.45,0.83,0.07,0.77,0.9,0.87,0.94
openintents.csv,0.35,0.0,0.65,0.42,0.43,0.43,0.45,0.32,0.67,0.56
ta3d.csv,0.95,0.79,1.0,0.74,0.45,0.93,0.48,0.9,0.53,0.06
tweetsharp.csv,0.65,0.45,0.84,0.81,0.86,0.21,0.7,0.85,0.13,0.69
