,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.44,0.55,0.17,0.55,0.64,0.28,0.83,0.54,0.22,0.71,0.61,0.62,0.71,0.65
autowikibrowser.csv,0.45,0.55,0.5,0.55,0.73,0.17,0.75,0.68,0.3,0.54,0.67,0.69,0.74,0.6
cities3d.csv,0.31,0.07,0.25,0.46,0.34,0.27,0.01,0.54,0.0,0.36,0.29,0.54,0.0,0.08
kmatplot.csv,0.53,0.23,0.77,0.5,0.38,0.23,0.3,0.34,0.0,0.41,0.57,0.49,0.22,0.49
libarchive.csv,0.38,0.58,0.82,0.52,0.69,0.16,0.83,0.73,0.34,0.6,0.58,0.65,0.75,0.68
lphant.csv,0.46,0.53,0.41,0.52,0.65,0.24,0.68,0.67,0.3,0.42,0.71,0.71,0.67,0.6
mob-sen-plat.csv,0.35,0.55,0.79,0.52,0.66,0.32,0.67,0.71,0.34,0.6,0.53,0.36,0.57,0.58
mscore.csv,0.38,0.53,0.82,0.54,0.75,0.21,0.77,0.72,0.3,0.66,0.54,0.69,0.61,0.64
pidgin.csv,0.25,0.42,0.26,0.48,0.47,0.3,0.77,0.63,0.29,0.62,0.44,0.39,0.49,0.45
quickfast.csv,0.35,0.53,0.77,0.5,0.59,0.14,0.79,0.73,0.38,0.49,0.58,0.55,0.8,0.61
raygina.csv,0.31,0.6,0.0,0.37,0.22,0.15,0.5,0.65,0.33,0.32,0.56,0.5,0.56,0.61
riff-evolve.csv,0.42,0.45,0.17,0.55,0.67,0.3,0.72,0.53,0.16,0.69,0.62,0.6,0.67,0.49
upp-mirror.csv,0.32,0.27,0.22,0.43,0.75,0.06,0.43,0.47,0.2,0.54,0.19,0.4,0.49,0.27
wishmaster.csv,0.34,0.29,0.3,0.42,0.64,0.17,0.29,0.58,0.48,0.38,0.51,0.48,0.61,0.18
