,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.84,0.44,0.57,0.64,0.53
intact.csv,0.57,0.65,0.0,0.34,0.63
miranda-icq.csv,0.52,0.51,0.64,0.39,0.59
ofbiz.csv,0.58,0.51,0.17,0.44,0.75
roolo.csv,0.57,0.44,0.59,0.8,0.41
