,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.21,0.68,0.58,0.69,0.78
intact.csv,0.54,0.45,1.0,0.76,0.71
miranda-icq.csv,0.54,0.59,0.47,0.71,0.62
ofbiz.csv,0.72,0.81,0.96,0.68,0.42
roolo.csv,0.76,0.87,0.71,0.29,0.88
