,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.61,0.31,0.29,0.67,0.53,0.19,0.45,0.49,0.89,0.35,0.87,0.5,0.55,0.42,0.0,0.58,0.02,0.79,0.17,0.69
alleg.csv,0.43,0.44,0.45,0.64,0.47,0.98,0.25,0.55,0.37,0.23,0.55,0.3,0.47,0.49,0.19,0.54,0.5,0.6,0.61,0.4
biodwh.csv,0.58,0.61,0.17,0.22,0.0,0.12,0.32,0.47,0.31,0.24,0.62,0.54,0.77,0.3,0.11,0.93,0.16,0.66,0.23,0.54
factor.csv,0.01,0.0,0.0,0.07,0.09,0.0,0.05,0.21,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.11
iaml.csv,0.47,0.47,0.4,0.6,0.24,0.27,0.98,0.49,0.54,0.34,0.33,0.36,0.51,0.42,0.33,0.59,0.37,0.37,0.48,0.51
icescrum.csv,0.56,0.48,0.15,0.52,0.25,0.27,0.24,0.3,0.38,0.34,0.34,0.67,0.55,1.0,0.22,0.58,0.0,0.14,0.13,0.18
jbasic.csv,0.53,0.25,0.0,1.0,0.64,0.38,0.2,0.42,0.34,0.61,0.58,0.23,0.75,0.3,0.91,0.37,0.13,0.23,0.59,0.28
jcache.csv,0.65,0.54,0.52,0.68,0.24,0.13,0.42,0.48,0.58,0.45,0.7,0.36,0.53,0.59,0.12,0.69,0.02,0.28,0.0,1.0
ktc.csv,0.97,0.5,0.53,0.37,0.39,0.22,0.5,0.28,0.54,0.67,0.93,0.43,0.73,0.73,0.62,0.67,0.6,0.33,0.44,0.28
moast.csv,0.37,0.49,0.0,0.69,0.47,0.44,0.48,0.55,0.29,0.21,0.57,0.54,0.21,0.62,1.0,0.55,0.51,0.06,0.61,0.37
natpad.csv,0.62,0.56,0.41,0.45,0.5,0.57,0.45,0.49,0.57,0.5,0.86,0.37,0.75,0.52,0.41,0.51,0.55,0.61,0.98,0.32
nebuladevice.csv,0.45,0.36,0.23,0.2,0.17,0.23,0.21,0.09,0.31,0.12,0.48,0.94,0.29,0.25,0.04,0.2,0.25,0.14,0.35,0.04
nosleepsoftware.csv,0.32,0.27,1.0,0.45,0.0,0.37,0.18,0.11,0.27,0.0,0.6,0.31,0.0,0.19,0.02,0.47,0.36,0.15,0.23,0.15
pixel-commandos.csv,0.12,0.06,0.0,0.0,0.09,0.0,0.0,0.02,0.09,0.12,0.0,0.0,0.79,0.06,0.02,0.0,0.0,0.06,0.0,0.0
riff-evolve.csv,0.75,0.65,0.48,0.54,0.44,0.52,0.4,0.97,0.71,0.58,0.46,0.55,0.75,0.62,0.57,0.48,0.56,0.47,0.65,0.57
rosegarden.csv,0.51,0.95,0.53,0.34,0.47,0.42,0.3,0.4,0.49,0.68,0.6,0.37,0.76,0.6,0.18,0.44,0.45,0.45,0.51,0.26
smarttag.csv,0.42,0.29,0.0,0.02,0.94,0.17,0.07,0.17,0.37,0.34,0.33,0.23,0.52,0.19,0.12,0.1,0.02,0.02,0.02,0.15
wxcode.csv,0.12,0.13,0.07,0.16,0.0,0.04,0.05,0.18,0.09,0.0,0.88,0.09,0.0,0.0,0.04,0.1,0.05,0.2,0.0,0.04
xined.csv,0.23,0.29,0.0,0.51,0.09,0.46,0.55,0.51,0.16,0.92,0.34,0.32,0.29,0.57,0.08,0.28,0.47,0.76,0.6,0.25
zemljanka.csv,0.05,0.05,0.0,0.09,0.0,0.2,0.0,0.0,0.0,0.09,0.05,0.0,0.27,0.0,0.27,0.33,1.0,0.17,0.24,0.0
