,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.37,0.06,0.26,0.61,0.33,0.2,0.3,0.47,0.0,0.05,0.09,0.3,0.02,0.16,1.0,0.62,0.0,0.57,0.06,0.29
alleg.csv,0.39,0.5,0.53,0.55,0.31,0.02,0.39,0.65,0.36,0.37,0.51,0.42,0.62,0.69,0.69,0.69,0.56,0.57,0.34,0.12
biodwh.csv,0.74,0.66,0.96,0.5,0.03,0.13,0.17,0.58,0.09,0.07,0.04,0.62,0.6,0.19,0.97,0.0,0.0,0.7,0.14,0.2
factor.csv,0.01,0.0,0.0,0.02,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.0,0.0,0.02
iaml.csv,0.31,0.33,0.47,0.71,0.38,0.38,0.0,0.41,0.43,0.33,0.32,0.38,0.43,0.16,0.34,0.68,0.89,0.48,0.8,0.17
icescrum.csv,0.17,0.21,0.02,0.29,0.05,0.93,0.29,0.12,0.16,0.3,0.11,0.32,0.12,0.0,0.55,0.42,1.0,0.3,0.97,0.1
jbasic.csv,0.26,0.14,0.36,0.02,0.36,0.25,0.14,0.14,0.23,0.35,0.37,0.23,0.24,0.09,0.21,0.31,0.0,0.3,0.25,0.1
jcache.csv,0.4,0.41,0.4,0.56,0.44,0.09,0.41,0.34,0.35,0.16,0.34,0.45,0.34,0.38,0.14,0.65,0.0,0.26,0.03,0.0
ktc.csv,0.01,0.18,0.34,0.12,0.36,0.15,0.47,0.1,0.43,0.44,0.26,0.39,0.33,0.44,0.72,0.54,0.56,0.35,0.25,0.24
moast.csv,0.89,0.83,1.0,0.44,0.85,0.33,0.83,0.49,0.92,0.95,0.79,0.8,0.95,0.62,0.0,0.73,0.33,0.61,0.45,0.88
natpad.csv,0.25,0.38,0.4,0.17,0.51,0.45,0.6,0.41,0.45,0.49,0.14,0.23,0.26,0.16,0.59,0.42,0.44,0.26,0.0,0.66
nebuladevice.csv,0.07,0.05,0.06,0.08,0.15,0.11,0.19,0.01,0.09,0.07,0.09,0.0,0.16,0.03,0.38,0.15,0.0,0.13,0.06,0.0
nosleepsoftware.csv,0.15,0.16,0.0,0.17,0.0,0.13,0.34,0.03,0.14,0.07,0.22,0.25,0.09,0.12,0.31,0.18,0.11,0.0,0.08,0.02
pixel-commandos.csv,0.02,0.0,0.0,0.02,0.03,0.0,0.02,0.01,0.04,0.05,0.0,0.01,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0
riff-evolve.csv,0.39,0.4,0.26,0.45,0.51,0.6,0.44,0.01,0.36,0.49,0.38,0.58,0.27,0.66,0.79,0.59,0.33,0.39,0.62,0.22
rosegarden.csv,0.11,0.01,0.34,0.15,0.28,0.27,0.3,0.17,0.42,0.4,0.22,0.28,0.22,0.31,0.45,0.48,0.78,0.3,0.23,0.76
smarttag.csv,0.23,0.12,0.45,0.02,0.0,0.2,0.04,0.13,0.35,0.16,0.12,0.31,0.41,0.19,0.07,0.13,0.22,0.13,0.05,0.07
wxcode.csv,0.01,0.01,0.0,0.02,0.03,0.0,0.08,0.11,0.03,0.05,0.0,0.04,0.02,0.0,0.48,0.13,0.0,0.0,0.0,0.05
xined.csv,0.05,0.14,0.0,0.77,0.08,0.65,0.47,0.49,0.15,0.0,0.07,0.03,0.03,0.47,0.97,0.38,0.44,0.61,0.42,0.71
zemljanka.csv,0.99,0.99,1.0,0.98,1.0,0.95,1.0,1.0,1.0,0.98,0.99,1.0,0.93,1.0,0.93,0.89,0.0,0.96,0.94,1.0
