,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,1.0,0.29,1.0,0.3,0.97,0.76,0.91,0.76,0.85,0.64,1.0
aztec.csv,0.2,0.83,0.33,0.7,0.67,0.55,0.38,0.1,0.04,0.75,0.84
bl-toolkit.csv,0.74,0.88,0.33,1.0,0.97,0.79,0.98,0.67,0.88,0.89,0.98
clamav.csv,0.24,0.42,1.0,0.7,0.72,0.67,0.13,0.63,0.77,0.27,0.58
fm-classic.csv,0.08,0.0,1.0,0.0,0.03,0.3,0.24,0.0,0.04,0.13,0.09
kml.csv,0.76,0.79,1.0,0.7,0.75,0.97,0.67,0.67,0.73,0.95,0.99
lufa-lib.csv,0.66,0.67,0.33,0.65,0.64,0.55,0.72,0.46,0.69,0.87,0.3
mplayer-ce.csv,0.7,0.38,1.0,0.2,0.64,0.81,0.26,0.7,0.65,0.89,0.54
qmmp.csv,0.62,0.67,1.0,0.6,0.69,0.84,0.91,0.65,0.46,0.88,0.9
xapian.csv,0.74,0.38,1.0,0.2,0.42,0.81,0.75,0.67,0.62,0.32,0.69
xtreemfs.csv,0.78,1.0,0.33,0.95,0.92,0.93,0.98,0.44,0.65,0.88,1.0
