,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.82,0.29,0.09,0.37,0.64,0.78,0.62,0.69,0.4,0.74,0.62
aztec.csv,0.32,0.38,0.4,0.54,0.72,0.58,0.4,0.17,0.07,0.84,0.59
bl-toolkit.csv,0.82,0.13,0.07,0.53,0.69,0.62,0.59,0.56,0.35,0.88,0.62
clamav.csv,0.36,0.09,0.09,0.7,0.62,0.67,0.19,0.63,0.38,0.39,0.54
fm-classic.csv,0.14,0.0,0.5,0.0,0.05,0.43,0.37,0.0,0.07,0.22,0.16
kml.csv,0.77,0.18,0.09,0.5,0.78,0.76,0.54,0.6,0.48,0.9,0.62
lufa-lib.csv,0.7,0.29,0.06,0.5,0.58,0.55,0.67,0.55,0.34,0.89,0.36
mplayer-ce.csv,0.74,0.11,0.09,0.31,0.73,0.68,0.34,0.62,0.49,0.89,0.56
qmmp.csv,0.71,0.15,0.16,0.57,0.68,0.67,0.63,0.71,0.48,0.88,0.6
xapian.csv,0.71,0.07,0.08,0.29,0.49,0.73,0.55,0.56,0.54,0.44,0.55
xtreemfs.csv,0.77,0.17,0.12,0.52,0.68,0.7,0.62,0.53,0.4,0.92,0.62
