,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,1.0,0.2,0.77,0.47,0.98,0.76,0.6,0.26,0.54,0.07,0.22,0.19,0.87,0.17,0.44,0.68,0.95,0.57
autofac.csv,0.98,0.41,0.74,1.0,0.58,0.69,0.43,0.32,0.41,0.12,0.14,0.34,0.88,0.14,0.31,0.65,0.96,0.76
azureus.csv,1.0,0.47,0.85,0.75,0.6,0.69,0.57,0.35,0.5,0.13,0.0,0.98,0.83,0.0,0.0,0.5,0.99,1.0
dsworkbench.csv,1.0,0.35,1.0,0.75,1.0,0.8,0.5,0.47,0.67,0.05,0.5,0.28,0.98,0.33,0.33,0.71,1.0,0.53
forester-atv.csv,1.0,1.0,0.83,1.0,0.0,0.5,0.5,0.6,0.0,0.1,0.0,0.43,1.0,0.0,0.5,0.0,1.0,0.78
freelords.csv,1.0,0.38,0.81,0.56,0.61,0.99,0.35,0.32,0.37,0.11,0.1,0.29,0.9,0.12,0.43,0.61,0.98,0.78
gabel.csv,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0
gephex.csv,0.96,0.43,0.75,0.47,0.58,0.81,0.32,0.32,0.55,0.05,0.22,0.26,0.9,0.13,0.24,0.99,0.97,0.7
google-collections.csv,1.0,0.39,0.76,0.47,0.56,0.74,0.29,0.35,0.38,0.08,0.19,0.26,0.83,0.12,0.27,0.63,0.96,0.68
javaprofiler.csv,0.98,0.4,0.8,0.56,0.6,0.76,0.42,0.41,0.3,0.13,0.19,0.3,0.89,0.2,0.32,0.58,0.98,1.0
jpaul.csv,1.0,0.48,0.78,0.91,1.0,0.85,1.0,0.41,0.73,0.21,0.14,0.48,0.94,0.2,0.56,1.0,1.0,0.86
mycila.csv,0.89,0.57,0.5,0.35,0.0,0.33,0.38,0.38,0.18,0.0,1.0,0.0,0.74,0.12,0.12,1.0,1.0,1.0
neodatis-odb.csv,1.0,0.49,0.88,0.46,0.78,0.67,0.28,1.0,0.62,0.13,0.17,0.32,0.69,0.1,0.33,0.75,0.96,0.86
octet.csv,1.0,0.51,0.78,0.92,0.79,0.65,0.58,0.59,0.5,0.16,0.14,0.33,0.85,1.0,0.67,0.74,0.99,0.86
personalaccess.csv,1.0,0.44,0.78,0.49,0.71,0.82,0.36,0.29,0.42,0.08,0.27,0.28,0.98,0.16,0.27,0.71,0.97,0.71
rcp-company-uibindings.csv,1.0,0.41,0.77,0.48,0.55,0.82,0.3,0.33,0.4,0.1,0.2,0.3,0.86,0.12,0.39,0.63,1.0,0.7
scenemonitor.csv,1.0,0.4,0.78,0.65,0.72,0.73,0.31,0.39,1.0,0.09,0.23,0.3,0.86,0.12,0.28,0.63,0.97,0.7
servicestack.csv,0.96,0.38,0.64,0.5,0.62,0.67,0.38,0.34,0.5,0.12,0.06,0.26,0.81,0.13,1.0,0.61,0.98,0.81
