,esmf.csv,pentahoanalysistool.csv,turbotrader-bos.csv,personalaccess.csv
esmf.csv,0.42,0.32,0.4,0.65
pentahoanalysistool.csv,0.21,0.67,0.46,0.16
personalaccess.csv,0.41,0.4,0.54,0.87
turbotrader-bos.csv,0.36,0.52,0.63,0.63
