,esmf.csv,pentahoanalysistool.csv,turbotrader-bos.csv,personalaccess.csv
esmf.csv,0.22,0.38,0.37,0.3
pentahoanalysistool.csv,0.31,0.23,0.25,0.34
personalaccess.csv,0.14,0.14,0.17,0.27
turbotrader-bos.csv,0.19,0.26,0.2,0.21
