,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.6,0.96,0.69,0.91,0.86,0.55,0.97,0.62,0.67,0.62,0.64,0.94
archive-crawler.csv,0.59,0.67,0.74,0.7,0.62,0.42,0.5,0.56,0.6,0.53,0.37,0.67
blue-c.csv,0.42,0.49,0.38,0.62,0.53,0.48,0.49,0.56,0.5,0.47,0.4,0.4
dynalloy.csv,0.45,0.69,0.43,0.65,0.67,0.77,0.66,0.58,0.6,0.53,0.44,0.57
jcae.csv,0.63,0.8,0.6,0.6,0.6,0.42,0.66,0.67,0.86,0.42,0.57,0.93
kmatplot.csv,0.49,0.59,0.4,0.4,0.0,0.38,0.6,0.73,0.52,0.41,0.37,0.4
mscore.csv,0.39,0.39,0.29,0.4,0.5,0.36,0.42,0.4,0.38,0.33,0.31,0.37
nosleepsoftware.csv,0.75,0.75,0.0,0.55,0.86,0.75,0.71,0.89,0.75,0.7,0.64,0.95
openmalaria.csv,0.42,0.39,0.28,0.35,0.38,0.33,0.36,0.42,0.35,0.39,0.3,0.32
popeye-chess.csv,0.48,0.66,0.53,0.5,0.42,0.39,0.46,0.49,0.78,0.48,0.41,0.42
riff-evolve.csv,0.49,0.67,0.3,0.69,0.45,0.58,0.55,0.67,0.54,0.55,0.44,0.36
virtuoso.csv,0.48,0.42,0.3,0.42,0.5,0.42,0.42,0.42,0.48,0.46,0.37,0.65
