,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.54,0.86,0.5,0.19,0.61,0.2,0.73,1.0,0.33,1.0,0.79,0.52
e-bio-flow.csv,0.61,0.59,0.6,0.94,0.74,0.0,0.27,1.0,0.17,0.75,0.82,0.48
freedom-erp.csv,0.49,0.06,0.3,0.03,0.76,0.0,0.27,0.12,0.37,0.0,0.33,0.1
jbasic.csv,0.71,0.48,0.73,0.81,0.91,1.0,0.91,0.88,0.89,0.38,0.4,0.8
jgossipforum.csv,0.36,0.43,0.4,0.49,0.04,1.0,0.36,0.75,0.22,0.88,0.16,0.38
joustsim.csv,0.25,0.77,0.43,0.81,0.26,1.0,0.91,0.88,0.63,0.88,0.64,0.7
jsidplay2.csv,0.8,0.57,0.67,0.97,0.99,0.2,0.82,0.5,0.87,0.25,0.71,0.62
madman.csv,0.22,0.34,0.3,0.22,0.06,0.2,0.64,0.88,0.06,0.38,0.15,0.1
mule.csv,0.41,0.68,0.67,0.19,0.93,0.6,0.64,0.25,0.43,0.12,0.49,0.8
nunit.csv,0.22,0.36,0.33,0.51,0.23,0.6,0.27,0.38,0.02,0.38,0.4,0.65
power-architect.csv,0.53,0.83,0.87,0.76,0.44,0.4,0.64,1.0,0.78,0.88,0.82,0.98
reaper3d.csv,0.41,0.1,0.33,0.56,0.34,1.0,0.18,0.25,0.37,0.75,0.21,0.22
