,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,passwordsafe.csv,miranda.csv
boost.csv,0.77,0.64,0.35,0.58,0.79,0.68,0.58,0.69
etics.csv,0.69,0.51,0.15,0.48,0.66,0.36,0.39,0.68
genecys.csv,0.54,0.69,0.55,0.72,0.79,0.72,0.39,0.79
kvs.csv,0.54,0.13,0.75,0.31,0.02,0.41,0.28,0.39
mcore3d.csv,0.23,0.73,0.7,0.44,0.92,0.15,0.42,0.48
miranda.csv,0.23,0.27,0.35,0.47,0.69,0.91,0.79,0.73
ogrehg.csv,0.46,0.68,0.25,0.64,0.87,0.43,0.4,0.84
passwordsafe.csv,1.0,0.8,0.25,0.81,0.81,0.79,0.63,0.84
