,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.96,0.45,0.59,0.93,0.9,0.75,0.88,0.68,0.85,0.7,0.67,0.9,0.44,0.81,0.89,0.91,0.95,0.94,0.49
delphilhlplib.csv,0.92,0.44,0.31,0.6,0.61,0.63,0.82,0.49,0.61,0.59,0.57,0.52,0.4,0.5,0.63,0.57,0.55,0.73,0.82
exordium.csv,0.88,0.63,0.52,0.57,0.4,0.64,0.87,0.47,0.48,0.55,0.83,0.6,0.51,0.49,0.64,0.63,0.74,0.86,0.49
fltk.csv,0.53,0.87,0.73,0.44,0.65,0.69,0.63,0.53,0.52,0.64,0.54,0.7,0.9,0.58,0.51,0.61,0.72,0.7,0.28
genoviz.csv,0.75,0.96,0.65,0.92,0.79,0.65,0.97,0.95,0.88,0.9,0.94,0.89,1.0,0.91,0.83,0.88,0.78,0.88,0.07
gzigzag.csv,0.51,0.96,0.61,0.75,0.64,0.52,0.92,0.7,0.57,0.77,0.46,0.59,0.88,0.64,0.73,0.72,1.08,0.9,0.67
irrlicht.csv,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.58,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.65,1.0,0.94,0.62,0.58,0.57,0.95,0.45,0.49,0.67,0.97,0.5,0.89,0.56,0.51,0.45,1.21,1.0,0.71
moast.csv,0.86,1.0,0.99,0.77,0.72,0.93,0.75,0.88,1.0,0.74,1.0,0.86,0.92,0.58,0.85,1.0,0.05,1.0,0.72
mptvseries.csv,0.56,0.69,1.0,0.6,0.45,0.7,0.94,0.39,0.49,0.67,0.36,0.53,0.66,0.67,0.59,0.59,0.98,0.78,0.47
nativeclient.csv,0.61,0.68,0.83,0.54,0.79,0.71,0.79,0.45,0.68,0.57,0.45,0.5,0.6,0.58,0.6,0.64,0.86,0.44,0.74
openfrag.csv,0.92,0.87,0.89,0.58,0.56,0.71,0.86,0.51,0.67,0.62,0.51,0.42,0.58,0.32,0.56,0.58,0.76,0.59,0.93
phet.csv,1.01,0.62,0.75,0.95,0.99,0.76,0.48,0.95,1.07,0.89,0.98,0.96,0.94,1.1,0.85,0.9,1.18,0.88,1.05
qdvdauthor.csv,0.59,0.87,0.84,0.83,0.87,0.73,0.73,0.65,0.4,0.82,1.0,0.65,0.58,0.6,0.46,0.71,0.14,0.88,1.06
qse.csv,0.7,1.0,0.83,0.56,0.58,0.66,0.72,0.57,0.61,0.71,0.26,0.65,0.71,0.76,0.63,0.63,1.1,0.97,0.76
sauerbraten.csv,0.42,0.89,0.93,0.97,0.88,0.81,0.85,0.97,1.0,0.89,1.0,0.99,0.88,0.96,1.0,0.98,0.76,0.99,1.0
toped.csv,0.75,0.8,0.74,0.78,0.77,0.91,0.81,0.65,0.21,0.75,0.83,0.69,0.68,0.63,0.55,0.73,0.52,0.67,0.87
truevision.csv,0.68,1.0,0.72,0.5,0.73,0.71,0.84,0.55,0.65,0.61,1.0,0.31,0.47,0.54,0.65,0.59,0.97,0.95,0.86
zoolib.csv,0.67,0.79,0.67,0.62,0.5,0.67,0.92,0.53,0.49,0.62,0.83,0.66,0.36,0.7,0.73,0.57,0.86,0.89,0.47
