,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.51,0.3,0.52,0.05,0.05,0.41,0.5,1.0,0.14,0.09,0.81
haphazard.csv,0.33,0.21,0.63,0.05,0.0,0.33,0.78,0.81,1.0,0.02,0.8
jicarilla.csv,0.5,0.5,0.97,0.02,0.12,0.43,0.0,0.67,0.14,0.09,0.67
jruby.csv,0.66,0.19,0.21,0.03,0.05,0.38,0.83,0.67,0.14,0.03,1.0
optalgtoolkit.csv,0.55,0.27,0.44,0.06,0.09,1.0,0.57,0.62,0.19,0.08,0.82
ossim.csv,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
projectts.csv,0.54,0.3,0.44,0.06,0.07,0.48,0.97,0.7,0.19,0.1,0.87
qedo.csv,0.5,0.0,1.0,0.0,0.0,0.4,0.75,1.0,0.33,1.0,1.0
sabbu.csv,1.0,0.25,0.46,0.09,0.06,0.37,0.61,0.6,0.25,0.05,0.86
vxl.csv,0.44,1.0,0.57,0.01,0.0,0.67,0.57,0.7,0.11,0.0,0.86
zact.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.67
