,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.74,0.67,0.72,0.74,0.77,0.78,0.81,0.02,0.83,0.72,0.84
haphazard.csv,0.94,0.84,0.48,0.89,1.01,0.86,0.64,0.72,0.0,0.97,0.92
jicarilla.csv,0.98,0.92,0.03,0.96,0.86,0.85,1.0,0.88,0.88,0.77,0.99
jruby.csv,0.49,0.81,0.96,0.94,0.78,0.76,0.73,0.83,0.89,0.95,0.0
optalgtoolkit.csv,0.73,0.69,0.8,0.69,0.52,0.05,0.81,0.85,0.75,0.78,0.82
ossim.csv,1.0,1.0,1.0,0.25,1.0,1.0,0.97,1.0,0.92,1.0,1.0
projectts.csv,0.72,0.62,0.8,0.72,0.67,0.55,0.04,0.72,0.73,0.63,0.71
qedo.csv,0.98,1.0,0.97,1.0,1.0,0.9,0.84,0.95,0.92,0.0,0.97
sabbu.csv,0.02,0.72,0.84,0.51,0.71,0.74,0.71,0.85,0.62,0.93,0.8
vxl.csv,0.85,0.14,0.68,0.97,1.0,0.79,0.9,1.0,0.94,1.01,0.79
zact.csv,1.0,1.0,1.0,1.0,0.43,1.0,1.0,1.0,1.0,1.0,0.99
