,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,0.79,0.75,0.76,0.78,0.51,0.5,0.89,0.93,0.88,0.66,0.87,0.86,0.56,1.0,0.77,0.85,0.62,0.76,1.0,0.96
autofac.csv,0.75,0.83,0.92,0.29,0.75,0.73,0.51,0.82,0.76,0.56,0.93,0.71,0.63,0.61,0.61,0.39,0.75,0.48,0.73,0.57
avisynth2.csv,0.82,0.75,0.82,0.87,1.0,0.96,0.88,0.97,0.9,1.0,1.0,0.8,0.85,0.03,1.0,0.92,0.91,0.55,0.99,1.0
azureus.csv,1.0,0.96,0.66,1.01,0.72,0.79,1.0,0.93,0.73,0.98,0.75,0.3,0.52,0.68,1.04,1.0,0.75,1.01,0.76,0.52
coot.csv,1.02,0.94,1.0,0.76,0.81,0.85,0.86,0.72,0.91,0.75,0.89,0.83,0.98,1.0,0.96,1.07,0.94,1.0,0.78,0.35
dsworkbench.csv,0.94,0.74,0.33,0.79,0.83,0.87,0.94,0.95,0.9,1.0,0.9,0.84,0.92,1.06,0.86,0.69,0.85,0.94,0.81,0.93
forester-atv.csv,0.59,0.36,0.72,0.62,0.94,0.75,0.74,0.89,0.54,0.64,0.7,0.86,0.73,0.24,0.57,0.71,0.71,0.48,0.95,0.82
freelords.csv,0.53,0.88,0.94,0.63,1.0,0.51,0.51,0.85,0.69,0.45,0.76,0.98,0.59,0.94,0.64,0.45,0.78,0.58,0.98,0.92
gabel.csv,0.96,0.58,0.68,0.56,0.85,0.77,0.48,0.83,0.76,0.25,0.47,0.74,0.6,0.74,0.74,0.69,0.63,0.88,0.87,0.98
geotools.csv,0.45,0.74,0.66,0.69,0.71,0.62,0.71,0.79,0.65,0.72,0.64,0.64,0.72,0.67,0.53,0.64,0.51,0.89,0.9,0.79
gephex.csv,0.89,0.87,1.04,0.88,0.69,0.61,0.68,0.74,0.8,0.71,0.83,0.78,0.86,0.86,0.83,0.98,0.63,0.51,0.4,0.82
google-collections.csv,0.19,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.96,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.65,0.7,0.84,0.76,1.0,0.94,0.3,0.83,0.86,0.36,0.92,0.73,0.91,0.75,0.49,0.6,0.75,0.6,1.0,0.97
mycila.csv,1.0,0.74,1.0,0.94,1.0,0.68,0.8,0.77,0.99,0.89,0.19,0.57,0.71,0.74,0.76,0.96,0.66,0.98,0.93,0.76
neodatis-odb.csv,1.01,0.81,0.67,0.66,0.7,0.68,0.81,0.43,0.69,0.63,0.66,0.61,0.57,0.9,0.45,0.83,0.76,1.0,0.65,0.54
octet.csv,0.59,0.82,0.65,0.85,0.69,0.72,0.81,0.56,0.66,0.7,0.74,0.7,0.52,0.9,0.34,0.63,0.6,0.88,0.65,0.72
pokenetonline.csv,0.41,0.9,1.0,0.86,0.94,0.48,0.59,0.88,0.5,0.72,0.79,0.99,0.36,1.0,0.62,0.54,0.81,0.53,0.93,0.87
scenemonitor.csv,0.74,0.69,0.82,0.57,0.71,0.63,0.5,0.84,0.34,0.77,0.78,0.55,0.76,0.67,0.72,0.56,0.61,0.78,0.71,0.93
servicestack.csv,0.97,0.47,0.73,0.71,1.0,0.87,0.94,0.78,0.95,1.0,0.92,0.9,0.82,0.67,0.86,0.81,0.83,0.31,1.0,1.0
twostep.csv,0.97,0.71,0.72,0.62,0.81,0.57,0.46,0.76,0.54,0.52,0.7,0.66,0.63,0.77,0.47,0.26,0.61,0.45,0.75,0.52
