,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.56,0.62,0.64,0.56,0.69,0.42,0.4,0.66,0.67,0.53,0.68,0.51,0.62,0.12
customwars.csv,0.57,0.56,0.52,0.65,0.27,0.22,0.37,0.49,0.51,0.36,0.83,0.47,0.53,0.52
firebreath.csv,0.53,0.66,0.58,0.53,0.49,0.29,0.66,0.74,0.64,0.54,0.6,0.38,0.63,0.65
gss.csv,0.6,0.62,0.59,0.6,0.6,0.61,0.57,0.68,0.27,0.32,0.6,0.17,0.63,0.77
irplus.csv,0.57,0.61,0.64,0.64,0.43,0.46,0.48,0.52,0.7,0.54,0.74,0.48,0.61,0.27
kwave.csv,0.49,0.59,0.48,0.51,0.0,0.53,0.48,0.63,0.38,0.32,0.36,0.46,0.75,0.78
liferea.csv,0.61,0.44,0.52,0.51,0.69,0.29,0.37,0.69,0.28,0.36,0.0,0.52,0.37,0.34
plearn.csv,0.66,0.53,0.34,0.77,0.43,0.0,0.26,0.47,0.54,0.52,0.78,0.6,0.44,0.4
psrchive.csv,0.64,0.52,0.35,0.85,0.55,0.14,0.53,0.54,0.56,0.28,0.84,0.43,0.38,0.31
qcad2.csv,0.46,0.57,0.59,0.49,0.49,0.54,0.53,0.72,0.48,0.34,0.46,0.45,0.55,0.35
tzod.csv,0.67,0.31,0.6,0.61,0.71,0.57,0.45,0.69,0.44,0.44,0.56,0.55,0.56,0.57
wxcode.csv,0.51,0.36,0.31,0.41,0.42,0.07,0.32,0.63,0.33,0.45,0.96,0.45,0.41,0.32
xinity.csv,0.33,0.34,0.48,0.17,0.09,0.35,0.41,0.46,0.21,0.19,0.4,0.79,0.4,0.2
xmoto.csv,0.59,0.36,0.41,0.53,0.27,0.15,0.61,0.58,0.54,0.4,0.65,0.45,0.72,0.2
