,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.8,0.12,1.01,0.61,0.86,0.57,0.86,1.02,0.94,0.93,0.61,0.8,0.82,0.81,0.87,0.58,1.03,0.86,0.75
dxengine.csv,0.55,0.89,0.02,0.87,0.43,0.81,0.77,1.01,0.82,0.7,0.65,0.86,0.84,0.71,0.81,0.91,1.04,0.72,1.03
e-bio-flow.csv,0.95,0.89,0.93,0.84,0.39,0.43,0.87,1.04,0.96,0.83,0.67,0.78,0.07,0.88,0.98,0.68,1.0,0.9,0.77
emono.csv,0.58,0.86,0.56,0.7,0.99,0.78,0.73,0.72,0.9,0.77,0.6,0.73,0.89,0.73,0.87,0.75,1.09,0.01,0.84
freedom-erp.csv,1.0,1.0,1.0,0.73,1.0,0.85,1.0,1.0,1.0,1.0,0.94,0.95,0.83,1.0,0.97,0.04,1.01,0.99,1.0
haggle.csv,0.76,0.89,0.62,0.83,0.82,0.79,0.63,1.01,0.49,0.0,0.86,0.92,0.84,0.87,0.67,0.99,1.01,0.82,0.54
jbpm.csv,0.79,1.0,0.78,0.94,0.61,0.88,0.04,1.06,1.01,0.83,0.85,0.97,0.78,0.68,0.91,0.97,1.0,0.9,1.02
jchassis.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,0.0,1.0,1.0
jmoney.csv,0.06,0.81,0.93,0.6,0.75,0.53,0.71,0.68,0.92,0.97,0.91,0.74,0.64,0.98,0.55,0.49,1.01,0.93,0.81
jmonkeyengine.csv,0.98,0.84,0.61,0.8,0.45,0.77,0.55,0.79,0.69,0.67,0.06,0.76,0.79,0.85,0.89,0.93,0.82,0.59,0.87
jsidplay2.csv,0.5,0.58,0.72,0.03,0.86,0.78,0.89,0.57,0.73,0.6,0.85,0.56,0.62,0.59,0.54,0.79,1.06,0.73,0.86
log4net.csv,0.9,1.0,1.0,1.0,1.0,0.85,0.98,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
matrex.csv,0.43,0.88,0.82,0.57,0.64,0.39,0.8,0.73,1.0,0.82,0.83,0.62,0.6,0.94,0.01,0.52,1.0,0.89,0.75
mediate.csv,0.4,0.86,0.8,0.75,0.79,0.55,0.78,0.49,0.66,0.76,0.76,0.04,0.88,0.74,0.91,0.79,0.71,0.61,0.6
piccolo2d.csv,0.85,0.71,1.0,0.98,1.0,0.08,0.83,1.0,1.0,1.0,0.78,0.92,0.78,1.0,1.0,0.85,1.0,1.0,0.75
pustefix.csv,0.89,0.75,0.93,0.82,0.8,0.72,0.65,0.75,0.04,0.92,0.9,0.81,0.44,0.86,0.79,0.82,0.17,0.92,1.01
sblim.csv,0.8,1.0,0.93,0.94,0.05,0.55,0.89,1.03,0.87,0.91,1.0,0.83,0.73,0.93,0.91,0.6,1.0,0.96,0.78
thedata.csv,0.81,0.94,0.56,0.77,0.95,0.79,0.91,0.57,0.86,0.71,0.85,0.79,0.85,0.73,0.86,0.68,1.03,0.62,0.0
tmva.csv,0.65,0.77,0.73,0.63,0.86,0.71,0.92,0.64,0.77,0.68,0.62,0.67,0.77,0.04,0.58,0.99,1.18,0.85,0.92
