,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.54,0.98,0.44,0.16,0.18,0.67,0.44,0.44,0.62,0.5,0.26,0.64,0.65
freewrl.csv,0.54,0.5,0.41,0.53,0.55,1.0,0.41,0.59,0.69,0.23,0.68,0.36,0.62
fulguro.csv,0.25,0.31,0.72,0.05,0.36,0.22,0.08,0.11,0.15,0.04,0.03,1.0,0.1
google-web-toolkit.csv,0.21,0.55,0.66,0.37,0.18,0.11,0.99,0.41,0.15,0.23,0.59,0.36,0.24
jcache.csv,0.5,0.69,0.47,0.79,0.55,0.41,0.66,0.62,0.85,0.38,1.0,0.09,0.73
jstock.csv,0.21,0.15,0.06,0.05,0.09,0.0,0.11,0.27,1.0,0.15,0.12,0.09,0.14
mimosa.csv,0.68,0.38,0.28,0.97,0.73,0.33,0.55,0.56,0.46,0.81,0.56,0.55,0.6
miranda.csv,0.43,0.35,0.19,0.34,0.55,0.0,0.29,0.5,0.15,0.15,0.38,0.55,0.99
ns-3-dev-def-routing.csv,0.43,0.47,0.59,0.39,0.55,0.44,0.18,0.96,0.0,0.31,0.21,0.0,0.35
ossbuild.csv,0.54,0.41,0.78,0.34,0.73,0.37,0.29,0.65,0.31,0.23,0.21,0.73,0.57
qtractor.csv,0.96,0.48,0.88,0.76,0.73,0.59,0.47,0.63,0.54,0.35,0.56,0.82,0.66
quarkplayer.csv,0.18,0.52,0.0,0.24,0.82,0.41,0.36,0.27,0.38,0.65,0.32,0.36,0.09
synergyspace.csv,0.14,0.07,0.0,0.05,0.0,0.07,0.22,0.12,0.08,0.96,0.09,0.09,0.05
