,empyrean.csv,amanda.csv,nutz.csv,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv,qpe.csv,lmms.csv,yale.csv,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
acegisecurity.csv,0.24,0.19,0.29,0.27,0.32,0.23,0.24,0.29,0.15,0.27,0.24,0.22,0.22,0.22,0.19,0.28,0.26,0.25,0.25,0.29,0.29,0.38,0.17,0.19,0.28,0.24,0.31,0.25,0.29,0.33,0.2,0.33,0.25,0.31,0.23,0.29,0.33,0.32,0.4,0.21,0.16,0.27,0.24,0.2,0.19,0.24,0.23,0.3,0.18,0.29,0.17,0.32,0.15,0.26,0.21,0.24,0.23,0.2,0.24,0.26,0.34,0.26,0.26,0.33,0.43,0.26,0.33,0.32,0.24,0.21,0.28,0.33,0.3,0.22,0.18,0.31,0.19,0.2,0.26,0.21,0.24,0.26,0.16,0.3,0.21,0.37,0.33,0.16,0.28,0.18,0.42,0.3,0.42,0.3,0.26,0.24,0.25,0.27,0.21,0.19,0.13,0.37,0.39
alsa.csv,0.3,0.21,0.22,0.27,0.29,0.21,0.31,0.29,0.32,0.23,0.27,0.31,0.44,0.3,0.25,0.29,0.28,0.31,0.21,0.29,0.25,0.36,0.38,0.25,0.31,0.36,0.33,0.3,0.33,0.37,0.24,0.42,0.24,0.23,0.27,0.28,0.28,0.34,0.32,0.35,0.47,0.3,0.33,0.23,0.29,0.28,0.28,0.31,0.2,0.38,0.37,0.28,0.26,0.31,0.28,0.29,0.31,0.29,0.34,0.3,0.33,0.28,0.19,0.3,0.21,0.26,0.26,0.24,0.27,0.26,0.28,0.26,0.3,0.3,0.29,0.42,0.23,0.3,0.23,0.25,0.21,0.27,0.27,0.3,0.27,0.33,0.29,0.32,0.25,0.39,0.41,0.28,0.26,0.23,0.24,0.27,0.26,0.27,0.25,0.21,0.14,0.34,0.37
amanda.csv,0.32,0.17,0.34,0.37,0.31,0.26,0.37,0.35,0.29,0.25,0.18,0.3,0.38,0.18,0.12,0.32,0.26,0.17,0.18,0.3,0.16,0.4,0.41,0.23,0.14,0.41,0.24,0.22,0.21,0.3,0.2,0.37,0.23,0.19,0.3,0.27,0.14,0.23,0.44,0.32,0.43,0.19,0.34,0.36,0.19,0.21,0.21,0.26,0.16,0.27,0.17,0.38,0.26,0.21,0.21,0.34,0.44,0.3,0.4,0.26,0.34,0.23,0.33,0.32,0.43,0.28,0.2,0.44,0.25,0.31,0.32,0.3,0.22,0.33,0.3,0.55,0.32,0.33,0.32,0.37,0.16,0.28,0.15,0.35,0.42,0.25,0.27,0.35,0.28,0.48,0.44,0.31,0.42,0.22,0.18,0.27,0.36,0.29,0.34,0.15,0.51,0.38,0.33
amateur-scrolls.csv,0.2,0.17,0.33,0.27,0.34,0.16,0.31,0.19,0.29,0.31,0.15,0.2,0.21,0.38,0.46,0.18,0.19,0.4,0.24,0.2,0.38,0.38,0.28,0.28,0.36,0.3,0.41,0.41,0.32,0.52,0.15,0.27,0.17,0.42,0.25,0.16,0.28,0.17,0.14,0.35,0.46,0.36,0.28,0.39,0.45,0.36,0.32,0.18,0.14,0.44,0.37,0.27,0.19,0.16,0.15,0.37,0.33,0.19,0.32,0.17,0.19,0.18,0.29,0.21,0.27,0.19,0.38,0.28,0.25,0.21,0.36,0.25,0.52,0.26,0.13,0.57,0.36,0.35,0.27,0.35,0.36,0.37,0.42,0.22,0.35,0.14,0.21,0.3,0.25,0.37,0.13,0.29,0.39,0.15,0.28,0.16,0.37,0.3,0.2,0.35,0.52,0.26,0.19
arcallians.csv,0.28,0.27,0.28,0.27,0.23,0.21,0.23,0.25,0.32,0.21,0.25,0.22,0.33,0.27,0.18,0.28,0.27,0.25,0.25,0.28,0.22,0.34,0.29,0.23,0.29,0.25,0.32,0.33,0.31,0.28,0.22,0.16,0.23,0.29,0.28,0.27,0.29,0.31,0.31,0.42,0.46,0.21,0.27,0.2,0.15,0.2,0.29,0.29,0.22,0.41,0.23,0.33,0.21,0.25,0.2,0.26,0.27,0.26,0.26,0.25,0.34,0.22,0.17,0.33,0.41,0.23,0.26,0.25,0.25,0.26,0.26,0.25,0.3,0.24,0.28,0.32,0.19,0.26,0.31,0.29,0.21,0.3,0.3,0.2,0.36,0.28,0.24,0.25,0.28,0.36,0.36,0.29,0.19,0.33,0.24,0.2,0.25,0.25,0.23,0.23,0.12,0.35,0.33
arianne.csv,0.39,0.39,0.4,0.34,0.35,0.36,0.37,0.42,0.15,0.38,0.41,0.34,0.32,0.38,0.43,0.37,0.28,0.38,0.3,0.44,0.36,0.4,0.28,0.43,0.37,0.37,0.41,0.39,0.33,0.3,0.37,0.38,0.32,0.4,0.23,0.38,0.39,0.39,0.46,0.25,0.45,0.32,0.28,0.3,0.45,0.36,0.31,0.37,0.16,0.43,0.35,0.34,0.25,0.2,0.38,0.4,0.38,0.28,0.34,0.32,0.37,0.35,0.38,0.38,0.43,0.37,0.37,0.48,0.27,0.23,0.25,0.27,0.52,0.32,0.39,0.53,0.35,0.36,0.37,0.17,0.36,0.39,0.43,0.35,0.33,0.41,0.31,0.34,0.37,0.27,0.46,0.32,0.44,0.43,0.28,0.35,0.39,0.32,0.22,0.4,0.51,0.37,0.39
aufs.csv,0.21,0.22,0.41,0.33,0.35,0.2,0.33,0.23,0.33,0.37,0.21,0.24,0.22,0.34,0.46,0.15,0.2,0.4,0.3,0.22,0.36,0.38,0.4,0.2,0.4,0.4,0.44,0.41,0.41,0.48,0.36,0.19,0.19,0.42,0.31,0.15,0.35,0.18,0.48,0.36,0.48,0.36,0.31,0.39,0.46,0.37,0.32,0.21,0.27,0.48,0.37,0.35,0.26,0.22,0.24,0.37,0.52,0.42,0.4,0.18,0.18,0.22,0.33,0.21,0.16,0.19,0.43,0.45,0.28,0.27,0.35,0.35,0.52,0.27,0.17,0.57,0.36,0.38,0.26,0.4,0.34,0.27,0.29,0.35,0.42,0.33,0.21,0.35,0.35,0.35,0.48,0.34,0.43,0.25,0.3,0.39,0.38,0.32,0.38,0.17,0.49,0.34,0.28
avifile.csv,0.37,0.38,0.29,0.33,0.21,0.33,0.21,0.37,0.27,0.31,0.44,0.41,0.48,0.39,0.46,0.29,0.29,0.39,0.32,0.41,0.38,0.22,0.26,0.44,0.37,0.29,0.44,0.35,0.41,0.5,0.35,0.41,0.35,0.38,0.34,0.38,0.39,0.45,0.48,0.39,0.43,0.3,0.28,0.38,0.45,0.33,0.35,0.36,0.35,0.44,0.36,0.35,0.25,0.47,0.38,0.27,0.38,0.42,0.38,0.26,0.4,0.34,0.41,0.39,0.48,0.4,0.44,0.27,0.25,0.2,0.38,0.24,0.52,0.27,0.41,0.56,0.33,0.38,0.32,0.37,0.36,0.37,0.48,0.19,0.3,0.41,0.33,0.28,0.28,0.28,0.54,0.26,0.19,0.45,0.3,0.39,0.24,0.18,0.25,0.44,0.52,0.31,0.43
aztec.csv,0.34,0.29,0.15,0.16,0.17,0.2,0.16,0.22,0.16,0.33,0.17,0.4,0.44,0.32,0.45,0.32,0.26,0.24,0.22,0.33,0.22,0.19,0.17,0.22,0.27,0.18,0.36,0.22,0.24,0.21,0.2,0.21,0.27,0.27,0.17,0.27,0.12,0.32,0.31,0.2,0.15,0.21,0.21,0.23,0.2,0.23,0.24,0.22,0.39,0.12,0.32,0.2,0.15,0.29,0.16,0.14,0.3,0.16,0.17,0.29,0.24,0.15,0.36,0.27,0.48,0.16,0.2,0.15,0.28,0.19,0.18,0.13,0.32,0.19,0.22,0.41,0.21,0.4,0.28,0.16,0.21,0.29,0.37,0.33,0.13,0.17,0.27,0.15,0.15,0.39,0.3,0.16,0.14,0.21,0.24,0.27,0.14,0.17,0.15,0.36,0.12,0.15,0.3
baadengine.csv,0.42,0.38,0.18,0.21,0.36,0.3,0.29,0.16,0.21,0.33,0.41,0.35,0.22,0.38,0.46,0.37,0.28,0.4,0.31,0.44,0.39,0.22,0.21,0.21,0.4,0.25,0.45,0.41,0.31,0.52,0.39,0.42,0.28,0.42,0.34,0.36,0.4,0.37,0.48,0.41,0.24,0.36,0.28,0.39,0.45,0.37,0.27,0.27,0.3,0.48,0.37,0.32,0.3,0.45,0.35,0.28,0.22,0.25,0.27,0.33,0.4,0.34,0.36,0.29,0.48,0.23,0.44,0.27,0.28,0.24,0.32,0.3,0.46,0.26,0.37,0.57,0.36,0.37,0.34,0.19,0.36,0.33,0.3,0.22,0.26,0.3,0.31,0.16,0.29,0.19,0.54,0.3,0.25,0.29,0.28,0.39,0.22,0.32,0.25,0.44,0.52,0.35,0.37
