,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.92,0.73,0.7,0.55,0.82,0.74,0.86,0.76,0.42,0.8
chaosrts.csv,0.72,0.47,1.0,0.54,0.78,0.61,0.65,0.79,1.0,0.3
lazarus-ccr.csv,0.88,0.3,1.0,0.95,0.81,0.72,0.7,0.76,1.0,0.65
linuxsh.csv,0.81,0.82,0.42,0.79,0.7,0.7,1.0,1.0,0.89,0.94
migen.csv,0.55,0.85,0.66,0.51,0.5,0.48,1.0,0.94,0.85,0.71
moviesandbox.csv,0.49,0.76,0.59,0.56,0.46,0.6,0.91,0.94,0.82,0.62
sauerbraten.csv,0.36,0.49,1.0,0.91,0.83,0.84,0.86,0.89,0.92,0.9
scite-ru.csv,0.79,0.93,0.8,0.78,0.86,0.86,0.67,0.69,0.73,1.0
vrjuggler.csv,0.86,0.82,1.0,0.87,0.81,0.81,0.69,0.5,0.86,0.95
xuggle.csv,0.56,0.6,0.79,0.35,0.66,0.63,0.54,0.9,0.68,0.72
