,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.92,0.54,0.67,0.34,0.8,0.35,0.29,0.44,0.33,0.26
chaosrts.csv,0.71,0.21,1.0,0.51,0.23,0.35,0.44,0.39,1.0,0.16
lazarus-ccr.csv,0.83,0.21,1.0,0.93,0.69,0.63,0.52,0.75,1.0,0.63
linuxsh.csv,0.79,0.75,0.38,0.08,0.63,0.28,0.06,0.02,0.16,0.05
migen.csv,0.46,0.71,0.18,0.16,0.26,0.35,0.02,0.08,0.22,0.63
moviesandbox.csv,0.46,0.57,0.22,0.33,0.37,0.33,0.12,0.03,0.27,0.58
sauerbraten.csv,0.29,0.39,1.0,0.9,0.83,0.81,0.81,0.88,0.91,0.89
scite-ru.csv,0.79,0.93,0.8,0.77,0.86,0.86,0.25,0.66,0.55,1.0
vrjuggler.csv,0.17,0.79,0.07,0.05,0.26,0.35,0.19,0.39,0.11,0.95
xuggle.csv,0.5,0.43,0.75,0.23,0.6,0.53,0.38,0.39,0.64,0.42
