,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.7,0.73,0.52,0.21,0.76,0.61,1.0,0.74,0.58,0.51,0.07,0.7,0.61,0.61,0.53,0.82,0.07,0.61
ardour.csv,0.47,0.45,0.48,0.45,0.48,0.52,0.32,0.99,0.43,0.42,0.89,0.46,0.58,0.45,0.22,0.73,0.77,0.23
bacnet.csv,0.45,0.62,0.68,0.89,0.46,0.55,0.32,0.56,0.26,0.34,0.54,0.52,0.39,0.49,0.78,0.82,0.56,0.3
cortex-vfx.csv,0.45,0.32,0.36,0.39,0.13,0.33,0.08,0.35,0.35,0.23,0.43,0.4,0.53,0.86,0.47,0.5,0.49,0.32
enzo.csv,0.81,0.88,0.88,0.68,0.87,0.73,0.76,0.83,0.78,0.99,0.89,0.84,0.81,0.73,0.67,1.0,0.74,0.79
growl-for-windows.csv,0.68,0.55,0.71,0.47,0.48,0.58,0.47,0.66,0.54,0.6,0.39,0.61,0.69,0.36,1.0,0.77,0.49,0.57
heekscad.csv,1.0,0.82,0.69,0.66,0.74,0.75,0.79,0.77,0.69,0.48,0.46,0.7,0.72,0.68,0.58,0.86,0.88,0.7
minig.csv,0.73,0.77,0.84,0.89,0.98,0.52,0.53,0.84,0.48,0.68,0.86,0.66,0.83,0.65,0.83,0.91,0.98,0.71
multitude.csv,0.73,0.62,0.56,0.66,0.59,0.51,0.37,0.73,0.92,0.57,0.57,0.57,0.67,0.43,0.44,0.91,0.74,0.38
natpad.csv,0.68,0.62,0.56,0.39,0.52,0.73,0.29,0.65,0.26,0.49,0.64,0.43,0.56,0.45,0.56,0.77,0.98,0.36
open-ms.csv,0.39,0.45,0.66,0.24,0.54,0.64,0.05,0.3,0.32,0.33,0.07,0.85,0.31,0.4,0.61,0.27,0.33,0.77
planeshift.csv,0.75,0.75,0.98,0.84,0.54,0.69,0.87,0.88,0.69,0.69,0.61,0.81,0.58,0.9,0.44,0.91,0.72,0.68
rocrail.csv,0.31,0.34,0.38,0.05,0.09,0.25,0.11,0.38,0.14,0.16,0.25,0.25,0.22,0.19,0.17,1.0,0.4,0.09
salasaga.csv,0.68,0.64,0.82,0.71,0.65,0.55,0.84,0.42,0.65,0.7,0.82,0.72,0.92,0.66,1.0,0.77,0.53,0.82
xcsoar.csv,0.57,0.96,0.61,0.39,0.39,0.51,0.5,0.74,0.48,0.51,0.57,0.37,0.64,0.55,0.47,0.82,0.81,0.64
xemeiah.csv,0.56,0.66,0.62,0.63,0.5,0.97,0.32,0.65,0.34,0.45,0.54,0.54,0.56,0.58,0.33,0.82,0.7,0.3
xmoto.csv,0.79,0.7,0.73,0.87,0.76,0.66,0.61,0.86,0.66,0.72,0.89,0.66,1.0,0.74,0.58,0.91,0.91,0.82
zxing.csv,0.43,0.54,0.31,0.11,0.33,0.46,0.37,0.7,0.37,0.46,0.5,0.3,0.22,0.56,0.44,0.68,0.47,1.0
