,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.42,0.65,0.61,0.79,0.89,0.7,0.03,0.7,0.67,0.59,0.93,0.63,0.67,0.69,0.77,0.47,0.93,0.71
ardour.csv,0.63,0.57,0.6,0.59,0.58,0.54,0.72,0.03,0.59,0.64,0.58,0.61,0.47,0.65,0.8,0.42,0.59,0.79
bacnet.csv,0.62,0.6,0.47,0.11,0.64,0.69,0.79,0.62,0.79,0.7,0.8,0.65,0.65,0.85,0.5,0.65,0.54,0.84
cortex-vfx.csv,0.56,0.68,0.72,0.66,0.88,0.74,0.93,0.66,0.68,0.8,0.61,0.66,0.56,0.14,0.57,0.6,0.57,0.69
enzo.csv,0.47,0.69,0.79,0.72,0.82,0.71,0.73,0.74,0.65,0.12,0.7,0.79,0.73,0.78,0.9,0.81,0.73,0.91
growl-for-windows.csv,0.62,0.51,0.56,0.62,0.6,0.55,0.66,0.52,0.6,0.82,0.76,0.67,0.67,0.67,0.06,0.53,0.64,0.68
heekscad.csv,0.0,0.47,0.57,0.63,0.72,0.58,0.58,0.66,0.54,0.54,0.64,0.52,0.49,0.64,0.93,0.47,0.47,0.66
minig.csv,0.52,0.57,0.78,0.9,0.03,0.61,0.64,0.54,0.61,0.72,0.74,0.63,0.66,0.63,0.69,0.81,0.92,0.5
multitude.csv,0.45,0.44,0.56,0.54,0.51,0.56,0.72,0.39,0.08,0.48,0.5,0.59,0.43,0.63,0.62,0.42,0.52,0.69
natpad.csv,0.52,0.52,0.56,0.71,0.59,0.65,0.71,0.59,0.76,0.92,0.47,0.66,0.5,0.62,0.45,0.45,0.02,0.64
open-ms.csv,0.68,0.63,0.79,0.82,0.91,0.67,0.95,0.71,0.8,0.98,0.93,0.15,0.83,0.64,0.45,0.84,0.77,0.86
planeshift.csv,0.63,0.71,0.05,0.67,0.6,0.56,0.7,0.81,0.61,0.39,0.58,0.72,0.58,0.86,0.91,0.42,0.53,0.48
rocrail.csv,0.69,0.66,0.63,0.95,0.91,0.75,0.9,0.63,0.86,0.84,0.75,0.76,0.78,0.81,0.84,0.01,0.61,0.92
salasaga.csv,0.89,0.85,0.85,0.87,0.76,0.93,0.68,0.89,0.95,0.89,0.18,0.87,0.94,0.76,1.0,0.93,0.92,1.02
xcsoar.csv,0.51,0.05,0.5,0.69,0.63,0.54,0.64,0.43,0.59,0.52,0.56,0.68,0.43,0.59,0.81,0.54,0.55,0.69
xemeiah.csv,0.51,0.42,0.43,0.58,0.52,0.03,0.79,0.44,0.67,0.84,0.63,0.58,0.49,0.62,0.87,0.41,0.54,0.74
xmoto.csv,0.51,0.58,0.51,0.82,0.69,0.51,0.72,0.68,0.49,0.49,0.99,0.59,0.0,0.74,0.79,0.78,0.88,0.79
zxing.csv,0.59,0.52,0.7,0.9,0.74,0.56,0.66,0.48,0.64,0.58,0.54,0.74,0.79,0.56,0.57,0.45,0.55,0.0
