,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,7.0,0.0,0.0,27.0,0.0,47.0,31.0,0.0,0.0,9.0,10.0,0.0,1.0,2.0,3.0,0.0,0.0,12.0,7.0
arcallians.csv,6.0,0.0,0.0,6.0,0.0,46.0,31.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,1.0
arianne.csv,0.0,0.0,0.0,15.0,0.0,19.0,62.0,0.0,2.0,7.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0
aztec.csv,0.0,0.0,0.0,256.0,0.0,0.0,12.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,113.0,101.0,1.0,0.0,1.0
bl-toolkit.csv,0.0,0.0,0.0,26.0,0.0,47.0,54.0,0.0,0.0,13.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,7.0
clamav.csv,6.0,0.0,0.0,0.0,0.0,74.0,31.0,8.0,0.0,0.0,12.0,1.0,0.0,1.0,4.0,3.0,0.0,4.0,1.0
gnupdate.csv,5.0,0.0,0.0,0.0,0.0,45.0,147.0,1.0,3.0,6.0,0.0,2.0,6.0,2.0,3.0,8.0,1.0,9.0,0.0
jmule.csv,0.0,0.0,1.0,5.0,0.0,9.0,33.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0
les-indemodables.csv,0.0,0.0,0.0,1.0,0.0,8.0,55.0,6.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,10.0,1.0
mbse.csv,3.0,0.0,0.0,23.0,0.0,41.0,10.0,2.0,11.0,7.0,0.0,0.0,2.0,4.0,0.0,10.0,0.0,7.0,6.0
mplayer-ce.csv,0.0,0.0,0.0,22.0,0.0,42.0,33.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0
ng4j.csv,1.0,0.0,0.0,1.0,0.0,1.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0
ns-3-dev-def-routing.csv,5.0,0.0,1.0,5.0,0.0,7.0,32.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0
openxava.csv,0.0,0.0,1.0,12.0,1.0,17.0,0.0,1.0,0.0,6.0,105.0,11.0,2.0,3.0,6.0,0.0,2.0,4.0,4.0
phonon-vlc-mplayer.csv,0.0,0.0,0.0,10.0,0.0,39.0,81.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0
qgis.csv,0.0,0.0,0.0,21.0,0.0,7.0,33.0,262.0,3.0,1.0,105.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,52.0
vars-redux.csv,6.0,0.0,1.0,3.0,1.0,318.0,32.0,0.0,0.0,7.0,105.0,0.0,2.0,2.0,4.0,0.0,2.0,4.0,1.0
xapian.csv,0.0,0.0,0.0,4.0,0.0,109.0,31.0,5.0,2.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0
yafdotnet.csv,0.0,4.0,0.0,1.0,0.0,68.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0
