,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.89,0.9,0.63,1.02,0.74,0.92,0.9,0.3,0.43,0.86,0.65,0.66,0.59,0.98,1.02,0.63,0.58
checker-framework.csv,0.97,0.93,0.99,0.98,0.97,0.83,0.91,0.86,0.33,0.83,0.92,0.69,0.95,0.91,0.97,0.91,0.79
cme.csv,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.01,1.0,0.99,0.78,0.98,1.0,1.0,1.0,0.02
ctrlr.csv,0.83,0.58,0.94,0.68,0.82,0.86,0.94,0.93,1.0,0.88,1.01,0.74,0.93,0.35,0.82,0.88,0.86
fontforge.csv,0.63,0.93,0.98,0.72,0.59,0.98,0.98,0.55,0.45,0.46,0.59,0.81,0.75,0.93,0.75,0.75,0.79
gusanos.csv,0.63,0.72,0.87,0.45,0.47,0.59,0.88,0.54,0.48,0.69,0.55,0.53,0.73,0.69,0.26,0.64,0.5
jvcl.csv,0.66,0.59,0.45,0.78,0.74,0.55,0.94,0.7,0.49,0.88,0.74,0.91,0.91,1.0,0.8,0.72,0.65
kwave.csv,0.77,0.87,0.96,0.85,0.7,1.0,0.42,0.82,0.52,0.73,0.85,0.77,0.78,0.75,0.93,0.89,0.72
liferea.csv,0.57,0.59,0.94,0.88,0.63,0.33,0.77,0.69,0.63,0.79,0.73,0.66,0.64,0.62,0.75,0.56,1.05
lockss.csv,0.46,0.59,0.55,0.68,0.57,0.5,0.71,0.7,0.64,0.74,0.6,0.55,0.72,1.01,0.85,0.95,0.69
magicwars.csv,0.92,1.0,0.83,0.91,0.91,1.0,1.0,0.97,0.7,1.0,0.35,0.99,0.94,1.0,1.0,0.96,0.85
psrchive.csv,0.7,0.26,1.0,0.57,0.91,0.79,0.83,0.65,0.59,0.65,0.82,0.72,0.84,0.95,0.59,0.49,0.54
pydev.csv,0.64,0.93,0.59,0.68,0.75,0.74,0.52,0.65,0.51,0.69,0.76,0.68,0.74,0.79,0.73,0.47,0.6
sarasvati.csv,0.54,0.54,0.92,0.75,0.42,0.56,0.59,0.85,0.63,0.92,0.6,0.83,0.62,0.67,0.7,0.7,0.71
stuproa-cims.csv,0.63,1.0,0.92,0.91,0.82,1.0,0.53,0.55,0.35,0.9,0.66,0.5,0.48,1.0,0.77,0.69,0.66
thout.csv,0.43,0.91,0.87,0.49,0.98,0.93,0.87,0.57,0.75,1.0,0.48,0.96,0.93,1.0,0.8,0.76,0.69
zact.csv,0.91,0.88,0.89,0.4,0.8,0.75,0.87,0.9,1.07,0.89,0.93,0.9,0.88,0.56,0.69,0.91,1.0
