,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.44,0.02,0.36,0.29,0.9
chaperon.csv,0.31,0.26,0.43,0.98,0.29
mule.csv,0.63,0.17,0.31,0.75,0.56
springside.csv,0.59,0.66,0.45,0.72,0.44
swtfox.csv,0.14,0.49,0.6,0.54,0.1
