,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.06,0.0,0.13,0.05,0.02,0.27,0.11,0.02,0.3,0.0,0.13
fceugc.csv,0.6,0.33,0.52,0.26,0.2,0.47,0.57,0.65,0.3,0.33,0.52
flexpay.csv,0.52,0.54,0.27,0.16,0.02,0.16,0.27,0.42,0.28,0.53,0.26
jstock.csv,0.29,0.33,0.35,0.16,0.02,0.12,0.14,0.23,0.11,0.13,0.13
keyczar.csv,0.09,0.54,0.17,0.21,0.62,0.38,0.23,0.28,0.18,0.4,0.17
modellus.csv,0.51,0.12,0.45,0.12,0.05,0.2,0.34,0.09,0.28,0.27,0.04
open-data-kit.csv,0.62,0.67,0.83,0.88,0.13,0.78,0.23,0.44,0.74,0.13,0.74
phet.csv,0.26,0.75,0.24,0.56,0.82,0.6,0.84,0.84,0.6,0.93,0.7
qtractor.csv,0.56,0.25,0.48,0.33,0.2,0.38,0.23,0.16,0.37,0.0,0.22
sumatrapdf.csv,0.9,0.54,0.97,0.79,0.18,0.65,0.86,0.6,0.79,0.67,0.74
synergyspace.csv,0.44,0.33,0.56,0.14,0.38,0.2,0.39,0.58,0.32,0.4,0.22
