,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.89,0.79,0.87,0.95,0.84,0.68,0.9,1.0,0.79,0.98,0.14
fceugc.csv,0.76,0.54,0.65,0.38,0.38,0.59,0.63,0.67,0.72,0.9,0.59
flexpay.csv,0.86,0.84,0.6,0.92,1.0,0.57,0.62,0.45,0.89,0.84,0.99
jstock.csv,0.86,0.6,0.67,0.78,0.68,0.68,0.61,0.24,0.85,0.78,0.58
keyczar.csv,0.92,0.9,0.84,0.98,1.02,0.95,0.86,0.82,0.72,0.47,0.87
modellus.csv,0.89,0.48,0.62,0.63,0.52,0.31,0.42,0.7,0.68,0.86,0.9
open-data-kit.csv,0.79,0.71,0.86,0.89,0.56,0.79,0.39,0.45,0.85,0.66,0.74
phet.csv,0.46,0.88,0.91,0.91,1.06,0.96,0.96,0.89,0.83,0.93,0.86
qtractor.csv,0.92,0.41,0.62,0.5,0.46,0.45,0.46,0.49,0.72,0.98,0.62
sumatrapdf.csv,0.91,0.56,0.97,0.79,0.29,0.66,0.86,0.6,0.8,0.75,0.74
synergyspace.csv,0.76,0.72,0.73,0.92,0.46,0.57,0.74,0.79,0.37,0.78,1.0
