,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.72,0.75,0.27,0.1,0.43,0.91,0.2,0.25,0.33,0.14,0.38,0.22
emite.csv,0.76,0.0,0.19,0.25,0.46,0.77,0.3,0.3,0.28,0.06,0.66,0.25
geogebra.csv,0.69,0.52,0.21,0.35,0.21,0.71,0.54,0.2,0.38,0.1,0.56,0.44
hibernate.csv,0.68,0.68,0.12,0.14,0.34,0.73,0.38,0.18,0.43,0.13,0.44,0.38
httpcontentparser.csv,0.71,0.0,0.27,0.22,0.26,0.0,0.21,0.17,0.31,0.06,0.43,0.25
megameknet.csv,0.63,0.52,0.09,0.15,0.16,0.72,0.45,0.17,0.3,0.04,0.48,0.24
myfaces.csv,0.77,0.68,0.17,0.36,0.61,0.81,0.64,0.2,0.4,0.14,0.4,0.48
ns-3.csv,0.77,0.46,0.18,0.34,0.19,0.74,0.43,0.14,0.37,0.04,0.46,0.36
ondex.csv,0.8,0.5,0.19,0.18,0.53,0.87,0.59,0.31,0.37,0.33,0.54,0.43
pixel-commandos.csv,0.81,0.8,0.3,0.09,0.34,1.0,0.25,0.15,0.3,0.4,0.14,0.3
rsyslog.csv,0.69,0.78,0.15,0.12,0.33,0.78,0.36,0.19,0.32,0.11,0.37,0.28
wow-qrsk.csv,0.75,1.0,0.25,0.25,0.43,0.0,0.55,0.19,0.47,0.0,0.68,0.49
