,kmatplot.csv,firebird.csv,popeye-chess.csv,cities3d.csv,mscore.csv,openmalaria.csv,riff-evolve.csv
cities3d.csv,0.66,0.86,1.0,0.43,0.6,0.91,0.78
firebird.csv,0.89,0.53,0.37,0.46,0.61,0.51,0.44
kmatplot.csv,0.33,0.91,0.97,0.61,0.65,0.53,0.71
mscore.csv,0.79,0.71,0.39,0.45,0.38,0.71,0.66
openmalaria.csv,0.56,0.66,0.41,0.45,0.6,0.3,0.68
popeye-chess.csv,0.59,0.67,0.39,0.95,0.49,0.61,0.51
riff-evolve.csv,0.47,0.6,0.42,0.4,0.59,0.65,0.41
