,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.05,0.4,0.46,0.29,0.18,0.29,0.21,0.23,0.31,0.27,0.07
empserver.csv,0.21,0.55,0.91,0.19,0.24,0.38,0.24,0.76,0.71,0.57,0.0
enlightenment.csv,1.0,1.0,1.0,0.33,1.0,1.0,0.95,1.0,0.99,1.0,1.0
ffigo.csv,0.2,0.05,0.4,0.0,0.0,0.04,0.0,0.04,0.25,0.32,0.07
ildjit.csv,0.51,0.19,0.13,0.31,0.55,0.2,0.08,0.28,0.96,0.23,0.14
jfreereport.csv,0.04,0.23,0.21,0.13,0.09,0.15,0.2,0.08,0.1,0.16,0.14
lufa-lib.csv,0.68,0.68,0.3,0.53,0.09,0.63,0.32,0.3,0.07,0.5,0.71
pcsx2.csv,0.26,0.31,0.49,0.38,0.55,0.33,0.78,0.3,0.97,0.05,0.29
psycle.csv,0.34,0.6,0.55,0.51,0.39,0.54,0.63,0.59,0.81,0.14,0.14
wikipediardware.csv,0.45,0.75,1.0,0.61,0.94,0.75,0.91,0.93,0.8,0.66,0.07
wxjs.csv,0.05,0.08,0.12,0.1,0.18,0.09,0.02,0.16,0.0,0.09,0.21
