,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.0,7.0,4.0,0.0,1.0,0.0,1.0,12.0,5.0,1.0,0.0
empserver.csv,1.0,3.0,2.0,0.0,0.0,0.0,0.0,27.0,11.0,3.0,0.0
enlightenment.csv,0.0,11.0,2.0,0.0,1.0,0.0,10.0,46.0,12.0,2.0,0.0
ffigo.csv,1.0,2.0,2.0,530.0,68.0,0.0,0.0,97.0,25.0,0.0,51.0
ildjit.csv,2.0,4.0,0.0,0.0,3.0,0.0,5.0,97.0,12.0,1.0,1.0
jfreereport.csv,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0
lufa-lib.csv,0.0,8.0,2.0,1.0,0.0,0.0,2.0,22.0,0.0,1.0,0.0
pcsx2.csv,2.0,3.0,0.0,0.0,0.0,0.0,7.0,97.0,12.0,0.0,0.0
psycle.csv,0.0,7.0,0.0,0.0,0.0,0.0,4.0,35.0,10.0,0.0,1.0
wikipediardware.csv,0.0,5.0,2.0,1.0,0.0,0.0,10.0,41.0,11.0,5.0,0.0
wxjs.csv,0.0,125.0,0.0,1.0,0.0,0.0,1.0,3.0,355.0,0.0,1.0
