,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.89,0.73,0.0,0.95,0.91,0.96,0.93,0.83,0.88,0.92,0.94,0.92,0.88,0.67
dvt.csv,0.46,0.61,0.28,0.83,0.54,0.58,0.57,0.5,0.54,0.43,0.46,0.47,0.9,0.63
flylinkdc.csv,0.54,0.44,0.27,0.59,0.47,0.54,0.53,0.38,0.61,0.44,0.36,0.44,0.39,0.47
fulguro.csv,0.43,0.47,0.42,0.76,0.6,0.65,0.59,0.38,0.72,0.7,0.55,0.95,0.44,0.76
gnome-jabber.csv,0.35,0.35,0.56,0.6,0.42,0.39,0.44,0.42,0.49,0.38,0.46,0.53,0.38,0.38
ipfire-wall.csv,0.56,0.49,0.54,0.54,0.47,0.6,0.75,0.32,0.74,0.5,0.86,0.74,0.69,0.53
jruby.csv,0.36,0.47,0.26,0.53,0.89,0.72,0.0,0.46,0.0,0.0,0.52,0.55,0.39,0.0
ldview.csv,0.38,0.43,0.61,0.76,0.4,0.41,0.58,0.46,0.88,0.35,0.76,0.65,0.38,0.45
maidsafe-dht.csv,0.71,0.57,0.44,0.65,0.61,0.44,0.7,0.33,0.58,0.38,0.59,0.52,0.54,0.67
nuttx.csv,0.63,0.94,0.94,0.71,0.75,0.84,0.48,0.93,0.9,0.62,0.54,0.67,0.61,0.93
oorexx.csv,0.41,0.9,0.0,0.0,0.42,0.86,0.54,0.0,0.0,0.47,0.0,0.86,0.41,0.57
red5.csv,0.39,0.36,0.45,0.67,0.4,0.5,0.52,0.46,0.47,0.4,0.52,0.45,0.45,0.41
vdsf.csv,0.45,0.45,0.99,0.65,0.45,0.65,0.63,0.35,0.56,0.38,0.53,0.5,0.42,0.5
xbrlapi.csv,0.94,0.47,0.0,0.91,0.72,0.78,0.67,0.37,0.94,0.67,0.0,0.86,0.5,0.74
