,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.25,0.47,0.0,0.17,0.08,0.3,0.29,0.16,0.63,0.13,0.53,0.28,0.14,0.21
dvt.csv,0.48,0.31,0.16,0.04,0.19,0.58,0.29,0.09,0.39,0.46,0.6,0.55,0.17,0.12
flylinkdc.csv,0.62,0.65,0.15,0.8,0.41,0.43,0.37,0.66,0.31,0.58,0.53,0.92,0.72,0.24
fulguro.csv,0.35,0.65,0.13,0.47,0.3,0.32,0.51,0.61,0.33,0.32,0.9,0.26,0.64,0.28
gnome-jabber.csv,0.42,0.63,0.15,0.36,0.3,0.53,0.46,0.57,0.21,0.53,0.77,0.5,0.67,0.18
ipfire-wall.csv,0.41,0.52,0.16,0.45,0.44,0.31,0.08,0.68,0.1,0.7,0.14,0.68,0.35,0.33
jruby.csv,0.42,0.56,0.16,0.9,0.26,0.26,0.0,0.6,0.0,0.0,0.97,0.79,0.71,0.0
ldview.csv,0.41,0.47,0.24,0.51,0.35,0.36,0.68,0.52,0.0,0.54,0.37,0.37,0.73,0.27
maidsafe-dht.csv,0.33,0.32,0.23,0.73,0.57,0.34,0.39,0.71,0.17,0.6,0.86,0.71,0.58,0.0
nuttx.csv,0.48,0.28,0.05,0.81,0.33,0.07,0.39,0.28,0.39,0.31,0.41,0.44,0.52,0.08
oorexx.csv,0.42,0.19,0.0,0.0,0.4,0.04,0.55,0.0,0.0,0.31,0.0,0.09,0.74,0.22
red5.csv,0.48,0.63,0.12,0.79,0.33,0.47,0.52,0.7,0.45,0.49,0.97,0.66,0.69,0.22
vdsf.csv,0.4,0.69,0.27,0.71,0.29,0.42,0.54,0.68,0.34,0.53,0.97,0.87,0.7,0.24
xbrlapi.csv,0.15,0.69,0.02,0.07,0.26,0.24,0.08,0.66,0.21,0.48,0.0,0.09,0.47,0.35
