,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.81,0.78,0.57,0.95,0.48,0.53,0.74,0.26,0.79,0.96,0.45,0.75,0.37,0.8,0.92,0.5
galaxium.csv,0.38,0.39,0.46,0.35,0.43,0.52,0.48,0.23,0.41,0.51,0.41,0.41,0.36,0.5,0.65,0.44
hydrate.csv,0.51,0.67,0.41,0.86,0.39,0.88,0.47,0.25,0.47,0.52,0.4,0.48,0.32,0.5,0.69,0.39
ivef-sdk.csv,0.47,0.5,0.67,0.48,0.66,0.61,0.68,0.0,0.47,0.64,0.5,0.57,0.55,0.91,0.5,0.0
jmri.csv,0.53,0.57,0.54,0.5,0.55,0.79,0.54,0.97,0.66,0.78,0.76,0.62,0.79,0.83,0.8,0.69
jython.csv,0.54,0.63,0.9,0.61,0.62,0.49,0.43,0.95,0.84,0.61,0.48,0.73,0.7,0.58,0.61,0.46
kdenlive.csv,0.37,0.36,0.42,0.38,0.5,0.37,0.5,0.25,0.47,0.36,0.39,0.35,0.36,0.39,0.79,0.32
ninject.csv,0.9,0.96,0.59,0.5,0.65,0.53,0.8,0.31,0.85,0.44,0.67,0.52,0.7,0.69,0.67,0.4
ondex.csv,0.5,0.54,0.51,0.59,0.76,0.8,0.59,0.28,0.94,0.93,0.67,0.76,0.66,0.86,0.8,0.69
opentibia.csv,0.66,0.47,0.69,0.68,0.49,0.8,0.46,0.26,0.9,0.61,0.57,0.54,0.88,0.47,0.77,0.38
runuomondains.csv,0.51,0.52,0.49,0.69,0.52,0.45,0.58,0.93,0.6,0.62,0.72,0.54,0.97,0.58,0.86,0.52
somap.csv,0.43,0.45,0.37,0.43,0.39,0.51,0.47,0.26,0.49,0.37,0.44,0.39,0.31,0.44,0.4,0.37
taverna.csv,0.63,0.68,0.7,0.5,0.61,0.5,0.6,0.24,0.67,0.46,0.58,0.68,0.58,0.56,0.8,0.88
tigermud.csv,0.72,0.67,0.45,0.65,0.59,0.5,0.85,0.26,0.88,0.46,0.74,0.38,0.45,0.56,0.48,0.37
unbvision.csv,0.43,0.54,0.44,0.47,0.46,0.49,0.5,0.96,0.62,0.61,0.5,0.57,0.33,0.6,0.55,0.56
x-ray-mule.csv,0.79,0.71,0.82,0.62,0.53,0.75,0.61,0.67,0.53,0.49,0.9,0.62,0.5,0.63,0.5,0.8
