,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.56,0.61,0.87,0.76,0.68,0.6,0.7,0.3,0.59,0.57,0.51,0.32
dsworkbench.csv,0.74,0.12,0.04,0.07,0.24,0.07,0.48,0.34,0.54,0.16,0.0,0.64
gogoego.csv,0.58,0.52,0.71,0.49,0.35,0.7,0.43,0.48,0.44,0.66,0.17,0.7
jpaul.csv,0.61,0.55,0.06,0.75,0.24,0.0,0.1,0.0,0.35,0.0,0.0,0.0
loki-lib.csv,0.46,0.56,0.11,0.72,0.39,0.46,0.74,0.12,0.43,0.34,0.7,0.53
motu.csv,0.39,0.13,0.44,0.64,0.44,0.54,0.7,0.24,0.45,0.43,0.55,0.3
mp-rechnungs-und-kundenverwaltung.csv,0.17,0.34,0.1,0.56,0.12,0.29,0.36,0.23,0.62,0.35,0.25,0.26
rtrt-on-gpu.csv,0.36,0.2,0.47,0.27,0.24,0.29,0.1,0.55,0.49,0.18,0.25,0.66
scenemonitor.csv,0.54,0.47,0.16,0.51,0.75,0.54,0.65,0.52,0.56,0.65,0.09,0.49
xstore.csv,0.64,0.33,0.5,0.64,0.62,0.5,0.38,0.23,0.63,0.71,0.64,0.0
yarp0.csv,0.59,0.57,0.26,0.44,0.33,0.76,0.41,0.51,0.57,0.49,0.57,0.54
zemljanka.csv,0.0,0.17,0.0,0.0,0.13,0.63,0.59,0.54,0.21,0.09,0.49,0.84
