,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.24,0.17,0.5,0.49,0.37,0.43
empyrean.csv,0.21,0.0,0.0,0.0,0.0,0.05
impala.csv,0.39,0.57,0.37,0.24,0.32,0.38
multitude.csv,0.79,0.68,0.89,0.96,0.27,0.62
nutz.csv,0.76,0.75,0.2,0.44,0.92,0.93
pi-qmc.csv,0.5,0.42,0.34,0.66,0.51,0.2
