,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.38,0.44,0.51,0.56,0.48,0.58,0.86,0.05,0.48,0.12,0.13,0.05,0.13
ivef-sdk.csv,0.59,0.62,0.63,0.68,0.56,1.0,0.26,0.11,0.53,0.52,0.0,0.0,0.13
jmri.csv,0.43,0.27,0.62,0.16,0.17,0.62,0.47,0.5,0.48,0.4,0.54,0.37,0.17
jython.csv,0.57,0.47,0.24,0.54,0.31,0.6,0.13,0.86,0.67,0.21,0.51,0.36,0.27
kdenlive.csv,0.74,0.57,0.51,0.33,0.57,0.38,0.36,0.05,0.71,0.5,0.67,0.64,0.53
opentibia.csv,0.42,0.78,0.45,0.37,0.49,0.04,0.52,0.49,0.04,0.04,0.51,0.26,0.2
projectfactory.csv,0.35,0.26,0.55,0.09,0.61,0.07,0.67,0.87,0.6,0.56,0.74,0.39,0.57
runuomondains.csv,0.46,0.39,0.6,0.12,0.22,0.08,0.34,0.67,0.52,0.49,0.76,0.41,0.33
somap.csv,0.13,0.3,0.5,0.47,0.38,0.0,0.42,0.0,0.0,0.47,0.27,0.86,0.0
taverna.csv,0.25,0.2,0.36,0.2,0.68,0.12,0.68,0.41,0.12,0.48,0.54,0.28,0.11
tigermud.csv,0.37,0.45,0.51,0.37,0.37,0.0,0.07,0.19,0.04,0.18,0.42,0.63,0.66
unbvision.csv,0.61,0.46,0.38,0.41,0.47,0.77,0.42,0.8,0.78,0.49,0.61,0.25,0.24
x-ray-mule.csv,0.16,0.16,0.1,0.8,0.49,0.0,0.0,0.06,0.45,0.52,0.0,0.41,0.3
