,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.81,0.78,0.57,0.95,0.48,0.55,0.74,0.26,0.78,0.8,0.45,0.67,0.8
ivef-sdk.csv,0.43,0.47,0.59,0.48,0.55,0.61,0.69,0.5,0.47,0.48,0.75,0.57,0.8
jmri.csv,0.52,0.6,0.55,0.7,0.56,0.79,0.53,0.96,0.71,0.68,0.78,0.62,0.8
jython.csv,0.49,0.62,0.91,0.5,0.59,0.47,0.42,0.98,0.68,0.91,0.47,0.71,0.64
kdenlive.csv,0.37,0.44,0.41,0.39,0.35,0.51,0.5,0.26,0.44,0.44,0.4,0.39,0.37
opentibia.csv,0.56,0.44,0.64,0.73,0.51,0.67,0.46,0.97,0.67,0.67,0.68,0.75,0.46
projectfactory.csv,0.63,0.78,0.5,0.83,0.48,0.75,0.48,0.59,0.43,0.6,0.49,0.52,0.44
runuomondains.csv,0.6,0.59,0.52,0.89,0.56,0.44,0.62,0.97,0.81,0.47,0.75,0.58,0.63
somap.csv,0.43,0.46,0.38,0.43,0.39,0.51,0.48,0.26,0.49,0.41,0.44,0.38,0.43
taverna.csv,0.93,0.87,0.62,0.38,0.66,0.64,0.58,0.93,0.9,0.61,0.6,0.88,0.83
tigermud.csv,0.87,0.78,0.48,0.94,0.62,0.0,0.8,0.26,0.9,0.87,0.74,0.43,0.57
unbvision.csv,0.45,0.42,0.63,0.38,0.48,0.48,0.5,0.97,0.53,0.5,0.53,0.78,0.67
x-ray-mule.csv,0.94,0.91,0.98,0.65,0.69,0.0,0.89,0.0,0.6,0.59,0.0,0.77,0.9
