,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.51,0.83,0.51,0.73,0.33,0.71,0.9,0.13,0.22,0.8,0.11,1.0,0.8
ivef-sdk.csv,0.68,0.93,0.54,0.68,0.34,1.0,0.28,1.0,0.28,0.48,0.0,0.86,0.8
jmri.csv,0.87,0.95,0.63,0.4,0.12,0.97,0.44,0.38,0.54,0.56,0.22,0.92,1.0
jython.csv,0.66,0.85,0.63,0.64,0.2,0.74,0.48,0.45,0.37,0.64,0.14,0.96,0.57
kdenlive.csv,0.82,0.88,0.52,0.45,0.37,0.59,0.46,0.13,0.34,0.47,0.16,0.98,0.63
opentibia.csv,0.69,0.94,0.51,0.67,0.35,0.67,0.5,0.26,0.33,0.33,0.13,1.0,0.62
projectfactory.csv,0.73,1.0,0.5,0.33,0.4,0.33,0.56,0.28,0.33,0.55,0.18,0.93,0.76
runuomondains.csv,0.97,0.97,0.55,0.33,0.19,0.26,0.34,0.41,0.67,0.43,0.38,1.0,0.44
somap.csv,0.63,0.87,0.46,0.64,0.36,0.52,0.48,0.12,0.24,0.45,0.11,1.0,0.62
taverna.csv,1.0,0.93,0.49,0.38,0.56,0.32,0.56,0.57,0.3,0.5,0.27,1.0,0.5
tigermud.csv,0.54,0.84,0.45,0.59,0.35,0.0,0.4,0.05,0.1,0.4,0.16,0.96,0.71
unbvision.csv,0.7,0.94,0.58,0.5,0.3,0.79,0.39,0.59,0.49,0.45,0.17,0.89,0.78
x-ray-mule.csv,0.5,1.0,0.35,0.81,0.33,0.0,0.0,1.0,0.21,0.45,0.0,1.0,0.9
