,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.41,0.54,0.5,0.53,0.78,0.82,0.85,1.0,0.53,0.1,0.88,0.04,0.11
ivef-sdk.csv,0.86,0.61,0.69,1.0,0.67,1.0,0.24,0.09,0.87,0.77,0.0,0.53,0.11
jmri.csv,0.38,0.23,0.61,0.13,0.15,0.57,0.48,0.45,0.43,0.36,0.5,0.33,0.14
jython.csv,0.77,0.48,0.2,0.93,0.3,0.99,0.97,0.86,0.7,0.18,1.0,0.32,0.23
kdenlive.csv,0.75,0.63,0.49,0.47,0.59,0.54,0.33,1.0,1.0,0.51,1.0,0.6,0.54
opentibia.csv,0.38,0.82,0.42,0.33,0.48,0.03,0.85,0.45,0.03,0.03,0.5,0.22,0.91
projectfactory.csv,0.31,0.22,0.57,0.07,0.63,0.06,0.85,0.95,0.6,0.56,0.88,0.35,0.54
runuomondains.csv,0.41,0.34,0.62,0.1,0.19,0.15,0.33,0.64,0.47,0.59,0.75,0.36,0.34
somap.csv,0.92,0.92,0.75,1.0,1.0,0.49,0.85,0.95,0.9,0.74,0.88,0.83,1.0
taverna.csv,0.21,0.17,0.32,0.17,0.67,0.1,0.82,0.36,0.1,0.46,0.5,0.24,0.09
tigermud.csv,0.35,0.49,0.7,0.33,0.33,0.0,0.06,0.32,0.03,0.15,0.38,0.62,0.71
unbvision.csv,0.65,0.41,0.34,0.43,0.48,1.0,0.45,0.77,0.8,0.51,0.62,0.22,0.2
x-ray-mule.csv,0.13,0.13,0.08,0.83,0.48,0.0,0.0,0.05,0.57,0.59,0.0,0.36,0.26
