,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.69,0.0,0.07,0.07,0.38,0.15,1.0,0.4,1.0,1.0,0.19
gdis.csv,0.62,0.49,0.1,0.08,0.35,0.13,0.53,0.26,1.0,0.18,0.1
genoviz.csv,1.0,1.0,0.0,0.0,0.87,0.5,0.0,0.0,1.0,0.0,1.0
kml.csv,0.83,0.73,0.09,0.06,0.45,0.15,1.0,0.18,0.87,0.21,0.16
omseek.csv,0.92,0.0,0.06,0.11,0.36,1.0,0.35,0.4,0.93,0.19,0.2
ossbuild.csv,0.84,0.62,0.94,0.13,0.69,0.13,0.44,0.38,0.93,0.29,0.18
popeye-chess.csv,0.81,1.0,0.08,0.07,0.52,0.17,0.64,0.27,0.91,0.2,0.15
quarkplayer.csv,0.47,1.0,0.0,1.0,0.48,0.0,0.29,0.1,0.79,0.0,0.22
turbotrader-bos.csv,0.63,0.81,0.18,0.03,1.0,0.09,0.59,0.14,0.83,0.14,0.06
virtuoso.csv,0.68,1.0,0.12,0.06,0.27,0.17,0.5,1.0,1.0,0.11,0.13
zscreen.csv,0.98,0.57,0.08,0.11,0.56,0.13,0.85,0.26,0.9,0.17,0.13
