,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.1,0.64,0.57,0.65,0.67,0.67,0.68,0.53,0.96,0.76,0.94,0.5,0.56
bscwweasel.csv,0.04,0.5,0.55,0.6,0.52,0.5,0.33,0.44,0.26,0.3,0.19,0.38,0.42
capcode.csv,0.03,0.93,0.98,0.9,0.52,0.67,0.37,0.27,0.78,0.71,0.55,0.38,0.49
emite.csv,0.92,0.14,0.59,0.35,0.43,0.08,0.01,0.15,0.13,0.22,0.74,0.2,0.16
geogebra.csv,0.04,0.57,0.43,0.45,0.81,0.58,0.73,0.6,0.74,0.48,0.06,0.69,0.6
hibernate.csv,0.61,0.21,0.64,0.9,0.81,0.75,0.34,0.38,0.52,0.52,0.32,0.56,0.77
lamp.csv,0.33,0.64,0.34,0.55,1.0,0.67,1.0,0.47,0.65,0.7,0.16,0.9,0.78
nodal.csv,0.01,0.07,0.55,0.5,0.48,0.5,0.01,0.09,0.61,0.32,0.1,0.31,0.57
retromenu.csv,0.94,0.43,0.52,0.3,0.81,0.67,0.23,0.27,0.22,0.19,0.39,0.57,0.21
smbopensoft.csv,0.81,1.0,0.93,0.6,0.67,0.67,0.69,0.31,0.57,0.73,0.81,0.72,0.67
stuproa-cims.csv,0.0,0.14,0.43,0.35,0.71,0.25,0.02,0.51,0.48,0.23,0.32,0.48,0.8
thout.csv,0.67,1.0,0.64,0.3,0.57,1.0,1.0,0.91,1.0,0.79,0.94,0.83,0.73
uface.csv,1.0,1.0,0.91,0.85,1.0,0.83,0.83,0.64,0.61,0.68,0.74,0.9,0.94
