,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.03,0.6,0.27,0.46,0.44,0.66,0.44,0.55,0.84,0.79,0.88,0.41,0.44
bscwweasel.csv,0.01,0.3,0.29,0.18,0.27,0.25,0.51,0.39,0.13,0.15,0.2,0.11,0.06
capcode.csv,0.01,0.82,0.95,0.79,0.38,0.27,0.33,0.11,0.49,0.6,0.65,0.25,0.22
emite.csv,0.72,0.1,0.45,0.23,0.27,0.32,0.0,0.11,0.06,0.2,0.4,0.11,0.15
geogebra.csv,0.0,0.32,0.12,0.2,0.58,0.45,0.92,0.53,0.37,0.29,0.08,0.25,0.09
hibernate.csv,0.62,0.09,0.63,0.87,0.62,0.49,0.33,0.24,0.59,0.27,0.35,0.23,0.61
lamp.csv,0.21,0.23,0.12,0.39,0.98,0.72,1.0,0.2,0.52,0.48,0.22,0.72,0.57
nodal.csv,0.0,0.02,0.23,0.47,0.71,0.23,0.0,0.07,0.16,0.16,0.12,0.13,0.11
retromenu.csv,0.86,0.18,0.27,0.2,0.16,0.49,0.18,0.51,0.1,0.12,0.2,0.36,0.04
smbopensoft.csv,0.19,0.98,0.95,0.75,0.84,0.46,0.59,0.33,0.3,0.71,0.78,0.68,0.19
stuproa-cims.csv,0.0,0.01,0.2,0.13,0.49,0.08,0.05,0.12,0.52,0.07,0.18,0.22,0.46
thout.csv,0.55,0.99,0.22,0.12,0.62,0.96,1.0,0.95,0.98,0.82,0.95,0.93,0.67
uface.csv,1.0,1.0,0.89,0.58,0.69,0.62,0.92,0.61,0.51,0.49,0.65,0.69,0.07
