,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,0.17,0.0,0.07,0.3,0.0,0.0
jruby.csv,0.33,0.11,0.07,0.05,0.25,0.0
pdfedit.csv,0.33,0.46,0.15,0.02,0.12,0.42
rectracker.csv,0.67,0.76,0.0,0.93,0.88,0.68
wxlua.csv,1.0,0.91,1.0,0.79,0.0,0.95
x4x.csv,0.0,0.85,0.96,0.91,0.75,0.89
