,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,0.86,0.58,0.89,0.73,0.92,0.93
jruby.csv,0.36,0.88,0.58,0.88,0.93,0.48
pdfedit.csv,0.52,0.53,0.92,0.52,0.91,0.62
rectracker.csv,0.42,0.52,0.41,0.36,0.49,0.52
wxlua.csv,0.35,0.38,0.3,0.36,0.52,0.47
x4x.csv,0.4,0.43,0.29,0.35,0.51,0.48
