,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,0.28,0.11,0.37,0.63,0.19,0.12,0.0
flylegacy.csv,0.72,0.34,0.6,0.57,0.54,0.37,0.62
jguard.csv,0.52,0.45,0.59,0.54,0.63,0.64,0.3
mob-sen-plat.csv,0.53,0.73,0.57,0.64,0.59,0.59,0.54
raygina.csv,0.75,0.0,0.47,0.55,0.32,0.34,0.33
upp-mirror.csv,0.36,0.11,0.64,0.58,0.69,0.44,0.24
wishmaster.csv,0.36,0.04,0.45,0.38,0.59,0.49,0.78
