,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.74,0.55,0.58,0.96,0.66,0.55,0.0,0.54,0.5,0.48,0.7
linux-ntfs.csv,0.36,0.51,0.43,0.58,0.4,0.41,0.0,0.3,0.42,0.51,1.0
olap-navigator.csv,1.0,0.64,0.53,0.75,0.73,0.5,0.51,0.68,0.27,0.68,0.48
phonon-vlc-mplayer.csv,0.72,0.56,0.95,0.52,0.76,0.63,0.81,0.45,0.67,0.48,0.59
qgis.csv,0.39,0.97,0.47,0.6,0.65,0.6,0.83,0.46,0.54,0.59,0.53
qse.csv,0.69,0.48,0.59,0.75,0.95,0.68,0.86,0.56,0.53,0.43,0.53
rebecca-aiml.csv,0.41,0.42,0.46,0.24,0.49,0.55,0.0,0.44,0.98,0.47,0.54
roller.csv,0.67,0.45,0.68,0.71,0.45,0.98,0.0,0.64,0.33,0.49,0.43
xapian.csv,0.75,0.54,0.72,0.71,0.81,0.72,0.85,0.36,0.53,0.9,0.65
zoolib.csv,0.47,0.28,0.4,0.18,0.31,0.36,0.0,0.89,0.13,0.1,0.43
